country,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
france entiere,68017091,8.83,1518,17.22,290.7,1.63,110868,3043,4.47,103,101,109,102,102
france metro,65846255,8.16,1362,17.22,290.7,1.66,109305,2378,3.61,100,100,100,100,100
