COG,commune,population,subvention_commune,subvention_EPCI_distributed,total_subventions,total_subventions_parHab
1001,L'Abergement-Clémenciat,859,0,179,179,0.2
1002,L'Abergement-de-Varey,273,0,4659,4659,17.1
1004,Ambérieu-en-Bugey,15554,518685,265448,784133,50.4
1005,Ambérieux-en-Dombes,1917,0,30361,30361,15.8
1006,Ambléon,114,0,1271,1271,11.1
1007,Ambronay,2828,120632,48263,168895,59.7
1008,Ambutrix,764,0,13039,13039,17.1
1009,Andert-et-Condon,335,0,3734,3734,11.1
1010,Anglefort,1150,0,27777,27777,24.2
1011,Apremont,399,0,15093,15093,37.8
1012,Aranc,329,0,12445,12445,37.8
1013,Arandas,140,0,2389,2389,17.1
1014,Arbent,3482,336937,131717,468654,134.6
1015,Arboys en Bugey,688,0,7668,7668,11.1
1016,Arbigny,459,0,6304,6304,13.7
1017,Argis,420,0,7168,7168,17.1
1019,Armix,25,0,279,279,11.2
1021,Ars-sur-Formans,1513,0,23963,23963,15.8
1022,Artemare,1141,0,12717,12717,11.1
1023,Asnières-sur-Saône,77,0,1057,1057,13.7
1024,Attignat,3372,75117,65189,140306,41.6
1025,Bâgé-Dommartin,4057,23600,55717,79317,19.6
1026,Bâgé-le-Châtel,987,0,13555,13555,13.7
1027,Balan,2878,0,39187,39187,13.6
1028,Baneins,618,0,129,129,0.2
1029,Beaupont,717,0,13861,13861,19.3
1030,Beauregard,826,0,13082,13082,15.8
1031,Bellignat,3581,281456,135462,416918,116.4
1032,Béligneux,3484,29819,47438,77257,22.2
1033,Valserhône,16162,616534,194632,811166,50.2
1034,Belley,9270,402375,103318,505693,54.6
1035,Belleydoux,306,0,11575,11575,37.8
1036,Valromey-sur-Séran,1350,0,15046,15046,11.1
1037,Bénonces,311,0,5308,5308,17.1
1038,Bény,769,0,14867,14867,19.3
1040,Béréziat,481,0,9299,9299,19.3
1041,Bettant,762,0,13004,13004,17.1
1042,Bey,290,0,1174,1174,4.0
1043,Beynost,4936,178900,159132,338032,68.5
1044,Billiat,669,0,8056,8056,12.0
1045,Birieux,280,0,58,58,0.2
1046,Biziat,897,0,3633,3633,4.1
1047,Blyes,1351,0,23056,23056,17.1
1049,La Boisse,3401,69292,46308,115600,34.0
1050,Boissey,390,0,5356,5356,13.7
1051,Bolozon,99,0,3745,3745,37.8
1052,Bouligneux,323,0,67,67,0.2
1053,Bourg-en-Bresse,42065,2978072,813221,3791293,90.1
1054,Bourg-Saint-Christophe,1540,0,26282,26282,17.1
1056,Boyeux-Saint-Jérôme,362,0,5187,5187,14.3
1057,Boz,509,0,6990,6990,13.7
1058,Brégnier-Cordon,812,0,9050,9050,11.1
1060,Brénod,547,0,20692,20692,37.8
1061,Brens,1117,0,12449,12449,11.1
1062,Bressolles,1003,0,13657,13657,13.6
1063,Brion,591,0,22356,22356,37.8
1064,Briord,1102,0,18807,18807,17.1
1065,Buellas,1884,0,36422,36422,19.3
1066,La Burbanche,97,0,1081,1081,11.1
1067,Ceignes,263,0,9949,9949,37.8
1068,Cerdon,755,0,10818,10818,14.3
1069,Certines,1518,0,29347,29347,19.3
1071,Cessy,5570,68657,71699,140356,25.2
1072,Ceyzériat,3306,38204,63913,102117,30.9
1073,Ceyzérieu,1028,0,11457,11457,11.1
1074,Chalamont,2544,0,530,530,0.2
1075,Chaleins,1436,0,7412,7412,5.2
1076,Chaley,127,0,2167,2167,17.1
1077,Challes-la-Montagne,185,0,2651,2651,14.3
1078,Challex,1628,0,20956,20956,12.9
1079,Champagne-en-Valromey,826,0,9206,9206,11.1
1080,Champdor-Corcelles,655,0,24777,24777,37.8
1081,Champfromier,709,0,8538,8538,12.0
1082,Chanay,595,0,7165,7165,12.0
1083,Chaneins,1041,0,217,217,0.2
1084,Chanoz-Châtenay,943,0,3819,3819,4.0
1085,La Chapelle-du-Châtelard,391,0,81,81,0.2
1087,Charix,280,0,10592,10592,37.8
1088,Charnoz-sur-Ain,925,0,15786,15786,17.1
1089,Château-Gaillard,2408,0,41095,41095,17.1
1090,Châtenay,358,0,75,75,0.2
1092,Châtillon-la-Palud,1675,0,349,349,0.2
1093,Châtillon-sur-Chalaronne,5154,465359,1074,466433,90.5
1094,Chavannes-sur-Reyssouze,746,0,10245,10245,13.7
1095,Nivigne et Suran,822,14804,15891,30695,37.3
1096,Chaveyriat,1057,11750,4281,16031,15.2
1098,Chazey-Bons,1165,0,12984,12984,11.1
1099,Chazey-sur-Ain,1613,0,27528,27528,17.1
1100,Cheignieu-la-Balme,130,0,1449,1449,11.1
1101,Chevillard,149,0,5636,5636,37.8
1102,Chevroux,981,0,13473,13473,13.7
1103,Chevry,2301,0,29619,29619,12.9
1104,Chézery-Forens,436,0,5612,5612,12.9
1105,Civrieux,1986,0,31454,31454,15.8
1106,Cize,175,0,3383,3383,19.3
1107,Cleyzieu,144,0,2458,2458,17.1
1108,Coligny,1294,0,25016,25016,19.3
1109,Collonges,2260,0,29091,29091,12.9
1110,Colomieu,164,0,1828,1828,11.1
1111,Conand,136,0,2321,2321,17.1
1112,Condamine,477,0,18044,18044,37.8
1113,Condeissiat,815,0,170,170,0.2
1114,Confort,676,0,8141,8141,12.0
1115,Confrançon,1357,0,26234,26234,19.3
1116,Contrevoz,489,0,5450,5450,11.1
1117,Conzieu,148,0,1650,1650,11.1
1118,Corbonod,1315,0,31762,31762,24.2
1121,Corlier,116,0,4388,4388,37.8
1123,Cormoranche-sur-Saône,1165,0,4718,4718,4.0
1124,Cormoz,704,0,13610,13610,19.3
1125,Corveissiat,587,0,11348,11348,19.3
1127,Courmangoux,513,0,9918,9918,19.3
1128,Courtes,293,0,5664,5664,19.3
1129,Crans,316,0,66,66,0.2
1130,Bresse Vallons,2393,20151,46263,66414,27.8
1133,Cressin-Rochefort,384,0,4280,4280,11.1
1134,Crottet,1844,0,7468,7468,4.0
1135,Crozet,2354,0,30301,30301,12.9
1136,Cruzilles-lès-Mépillat,951,0,3852,3852,4.1
1138,Culoz-Béon,3416,65100,38073,103173,30.2
1139,Curciat-Dongalon,462,0,8932,8932,19.3
1140,Curtafond,805,0,15563,15563,19.3
1141,Cuzieu,423,0,4714,4714,11.1
1142,Dagneux,4741,20597,64554,85151,18.0
1143,Divonne-les-Bains,10300,536045,132585,668630,64.9
1145,Dompierre-sur-Veyle,1225,0,23682,23682,19.3
1146,Dompierre-sur-Chalaronne,453,0,94,94,0.2
1147,Domsure,540,0,10440,10440,19.3
1148,Dortan,2013,0,76148,76148,37.8
1149,Douvres,1108,0,18909,18909,17.1
1150,Drom,215,0,4156,4156,19.3
1151,Druillat,1144,0,22116,22116,19.3
1152,Échallon,774,0,29279,29279,37.8
1153,Échenevex,2227,0,28667,28667,12.9
1155,Évosges,143,0,5409,5409,37.8
1156,Faramans,905,0,15445,15445,17.1
1157,Fareins,2524,0,39975,39975,15.8
1158,Farges,1065,0,13709,13709,12.9
1159,Feillens,3388,139880,46529,186409,55.0
1160,Ferney-Voltaire,11530,350658,148418,499076,43.3
1162,Flaxieu,64,0,713,713,11.1
1163,Foissiat,2024,0,39129,39129,19.3
1165,Francheleins,1593,0,8223,8223,5.2
1166,Frans,2547,0,40339,40339,15.8
1167,Garnerans,685,0,3536,3536,5.2
1169,Genouilleux,675,0,3484,3484,5.2
1170,Béard-Géovreissiat,1048,0,39644,39644,37.8
1171,Géovreisset,843,0,31889,31889,37.8
1173,Gex,13455,443556,173197,616753,45.8
1174,Giron,174,0,2095,2095,12.0
1175,Gorrevod,782,0,10740,10740,13.7
1177,Grand-Corent,186,0,3596,3596,19.3
1179,Grièges,1909,0,7731,7731,4.0
1180,Grilly,873,0,11238,11238,12.9
1181,Groissiat,1216,0,45999,45999,37.8
1183,Guéreins,1503,0,7758,7758,5.2
1184,Hautecourt-Romanèche,754,0,14577,14577,19.3
1185,Plateau d'Hauteville,4790,133321,181196,314517,65.7
1187,Haut Valromey,603,0,6721,6721,11.1
1188,Illiat,696,0,3593,3593,5.2
1189,Injoux-Génissiat,1123,0,13524,13524,12.0
1190,Innimond,92,0,1570,1570,17.1
1191,Izenave,159,0,6015,6015,37.8
1192,Izernore,2262,0,85567,85567,37.8
1193,Izieu,223,0,2485,2485,11.1
1194,Jassans-Riottier,6315,141086,134072,275158,43.6
1195,Jasseron,1900,0,36732,36732,19.3
1196,Jayat,1276,0,24668,24668,19.3
1197,Journans,384,0,7424,7424,19.3
1198,Joyeux,262,0,4471,4471,17.1
1199,Jujurieux,2209,0,31653,31653,14.3
1200,Labalme,207,0,2966,2966,14.3
1202,Lagnieu,7321,414749,124942,539691,73.7
1203,Laiz,1292,0,5233,5233,4.1
1204,Le Poizat-Lalleyriat,740,0,27993,27993,37.8
1206,Lantenay,265,0,10024,10024,37.8
1207,Lapeyrouse,337,0,70,70,0.2
1208,Lavours,138,0,1538,1538,11.1
1209,Léaz,887,0,11418,11418,12.9
1210,Lélex,236,0,3038,3038,12.9
1211,Lent,1459,0,28206,28206,19.3
1212,Lescheroux,720,0,13919,13919,19.3
1213,Leyment,1417,0,24183,24183,17.1
1214,Leyssard,163,0,6166,6166,37.8
1215,Surjoux-Lhopital,140,0,1686,1686,12.0
1216,Lhuis,891,0,15206,15206,17.1
1219,Lompnas,162,0,2765,2765,17.1
1224,Loyettes,3468,46668,59186,105854,30.5
1225,Lurcy,404,0,2085,2085,5.2
1227,Magnieu,651,0,7256,7256,11.1
1228,Maillat,693,0,26215,26215,37.8
1229,Malafretaz,1235,0,23876,23876,19.3
1230,Mantenay-Montlin,320,0,6186,6186,19.3
1231,Manziat,1985,0,27261,27261,13.7
1232,Marboz,2262,0,43730,43730,19.3
1233,Marchamp,135,0,2304,2304,17.1
1234,Marignieu,164,0,1828,1828,11.1
1235,Marlieux,1186,0,247,247,0.2
1236,Marsonnas,1034,0,19990,19990,19.3
1237,Martignat,1667,0,63059,63059,37.8
1238,Massieux,2733,0,43285,43285,15.8
1239,Massignieu-de-Rives,653,0,7278,7278,11.1
1240,Matafelon-Granges,630,0,23832,23832,37.8
1241,Meillonnas,1383,0,26737,26737,19.3
1242,Mérignat,133,0,1906,1906,14.3
1243,Messimy-sur-Saône,1312,0,6772,6772,5.2
1244,Meximieux,8198,24365,139909,164274,20.0
1245,Bohas-Meyriat-Rignat,951,0,18385,18385,19.3
1246,Mézériat,2179,0,8825,8825,4.1
1247,Mijoux,297,0,3823,3823,12.9
1248,Mionnay,2309,0,481,481,0.2
1249,Miribel,10450,401088,336898,737986,70.6
1250,Misérieux,2010,0,31834,31834,15.8
1252,Mogneneins,824,0,4253,4253,5.2
1254,Montagnat,2164,0,41835,41835,19.3
1255,Montagnieu,684,0,11673,11673,17.1
1257,Montanges,348,0,4191,4191,12.0
1258,Montceaux,1202,0,6204,6204,5.2
1259,Montcet,715,0,13823,13823,19.3
1260,Le Montellier,329,0,5615,5615,17.1
1261,Monthieux,673,0,140,140,0.2
1262,Montluel,6879,202909,93665,296574,43.1
1263,Montmerle-sur-Saône,3798,29600,19604,49204,13.0
1264,Montracol,1008,0,19487,19487,19.3
1265,Montréal-la-Cluse,3584,73712,135575,209287,58.4
1266,Montrevel-en-Bresse,2661,0,51444,51444,19.3
1267,Nurieux-Volognat,973,0,36807,36807,37.8
1268,Murs-et-Gélignieux,239,0,2664,2664,11.1
1269,Nantua,3431,164597,129788,294385,85.8
1272,Neuville-les-Dames,1540,0,321,321,0.2
1273,Neuville-sur-Ain,1798,0,25763,25763,14.3
1274,Les Neyrolles,623,0,23567,23567,37.8
1275,Neyron,2479,0,79921,79921,32.2
1276,Niévroz,1648,0,22439,22439,13.6
1277,Nivollet-Montgriffon,119,0,2031,2031,17.1
1279,Oncieu,72,0,1229,1229,17.1
1280,Ordonnaz,146,0,2492,2492,17.1
1281,Ornex,4903,71600,63113,134713,27.5
1282,Outriaz,258,0,9760,9760,37.8
1283,Oyonnax,22378,700663,846513,1547176,69.1
1284,Ozan,721,0,9902,9902,13.7
1285,Parcieux,1317,0,20859,20859,15.8
1286,Parves et Nattages,943,0,10510,10510,11.1
1288,Péron,2900,0,37330,37330,12.9
1289,Péronnas,6437,138422,124443,262865,40.8
1290,Pérouges,1382,0,23586,23586,17.1
1291,Perrex,861,0,3487,3487,4.0
1293,Peyriat,150,0,5674,5674,37.8
1294,Peyrieu,918,0,10231,10231,11.1
1295,Peyzieux-sur-Saône,656,0,3386,3386,5.2
1296,Pirajoux,400,0,7733,7733,19.3
1297,Pizay,922,0,12554,12554,13.6
1298,Plagne,166,0,1999,1999,12.0
1299,Le Plantay,569,0,119,119,0.2
1301,Polliat,2694,0,52082,52082,19.3
1302,Pollieu,167,0,1861,1861,11.1
1303,Poncin,1766,15446,25305,40751,23.1
1304,Pont-d'Ain,2862,0,41009,41009,14.3
1305,Pont-de-Vaux,2184,0,29994,29994,13.7
1306,Pont-de-Veyle,1600,0,6480,6480,4.0
1307,Port,843,0,31889,31889,37.8
1308,Pougny,792,0,10195,10195,12.9
1309,Pouillat,79,0,1527,1527,19.3
1310,Prémeyzel,245,0,2731,2731,11.1
1311,Prémillieu,47,0,1778,1778,37.8
1313,Prévessin-Moëns,9081,175307,116894,292201,32.2
1314,Priay,1803,0,25835,25835,14.3
1317,Ramasse,332,0,6418,6418,19.3
1318,Rancé,760,0,12037,12037,15.8
1319,Relevant,467,0,97,97,0.2
1320,Replonges,3929,39534,53959,93493,23.8
1321,Revonnas,905,0,17496,17496,19.3
1322,Reyrieux,5228,410875,82801,493676,94.4
1323,Reyssouze,1003,3909,13775,17684,17.6
1325,Rignieux-le-Franc,1131,0,19302,19302,17.1
1328,Romans,628,0,131,131,0.2
1329,Rossillon,164,0,1828,1828,11.1
1330,Ruffieu,174,0,0,0,0.0
1331,Saint-Alban,195,0,2794,2794,14.3
1332,Saint-André-de-Bâgé,819,0,11248,11248,13.7
1333,Saint-André-de-Corcy,3369,179160,702,179862,53.4
1334,Saint-André-d'Huiriat,671,0,2718,2718,4.1
1335,Saint-André-le-Bouchoux,427,0,89,89,0.2
1336,Saint-André-sur-Vieux-Jonc,1216,0,23508,23508,19.3
1337,Saint-Bénigne,1351,0,18554,18554,13.7
1338,Groslée-Saint-Benoit,1232,0,13731,13731,11.1
1339,Saint-Bernard,1544,0,24454,24454,15.8
1342,Sainte-Croix,548,0,7462,7462,13.6
1343,Saint-Cyr-sur-Menthon,1867,0,7561,7561,4.0
1344,Saint-Denis-lès-Bourg,6078,461304,117503,578807,95.2
1345,Saint-Denis-en-Bugey,2258,0,38536,38536,17.1
1346,Saint-Didier-d'Aussiat,845,0,16336,16336,19.3
1347,Saint-Didier-de-Formans,2176,0,34463,34463,15.8
1348,Saint-Didier-sur-Chalaronne,2969,0,15325,15325,5.2
1349,Saint-Éloi,524,0,8943,8943,17.1
1350,Saint-Étienne-du-Bois,2569,0,49665,49665,19.3
1351,Saint-Étienne-sur-Chalaronne,1625,0,8388,8388,5.2
1352,Saint-Étienne-sur-Reyssouze,576,0,7911,7911,13.7
1353,Sainte-Euphémie,1741,0,27574,27574,15.8
1354,Saint-Genis-Pouilly,14584,301466,187730,489196,33.5
1355,Saint-Genis-sur-Menthon,488,0,1976,1976,4.0
1356,Saint-Georges-sur-Renon,214,0,45,45,0.2
1357,Saint-Germain-de-Joux,505,0,6081,6081,12.0
1358,Saint-Germain-les-Paroisses,423,0,4714,4714,11.1
1359,Saint-Germain-sur-Renon,262,0,55,55,0.2
1360,Saint-Jean-de-Gonville,2042,0,26285,26285,12.9
1361,Saint-Jean-de-Niost,1862,0,31777,31777,17.1
1362,Saint-Jean-de-Thurigneux,850,0,13462,13462,15.8
1363,Saint-Jean-le-Vieux,1799,0,25778,25778,14.3
1364,Saint-Jean-sur-Reyssouze,764,0,14770,14770,19.3
1365,Saint-Jean-sur-Veyle,1154,0,4674,4674,4.1
1366,Sainte-Julie,1092,0,18636,18636,17.1
1367,Saint-Julien-sur-Reyssouze,687,0,13281,13281,19.3
1368,Saint-Julien-sur-Veyle,853,0,3455,3455,4.1
1369,Saint-Just,953,0,18424,18424,19.3
1370,Saint-Laurent-sur-Saône,1735,0,44317,44317,25.5
1371,Saint-Marcel,1300,0,271,271,0.2
1372,Saint-Martin-de-Bavel,431,0,4804,4804,11.1
1373,Saint-Martin-du-Frêne,1027,0,38849,38849,37.8
1374,Saint-Martin-du-Mont,1953,0,37756,37756,19.3
1375,Saint-Martin-le-Châtel,784,0,15157,15157,19.3
1376,Saint-Maurice-de-Beynost,4243,0,136790,136790,32.2
1378,Saint-Maurice-de-Gourdans,2826,0,48229,48229,17.1
1379,Saint-Maurice-de-Rémens,758,0,12936,12936,17.1
1380,Saint-Nizier-le-Bouchoux,589,0,11387,11387,19.3
1381,Saint-Nizier-le-Désert,922,0,192,192,0.2
1382,Sainte-Olive,357,0,74,74,0.2
1383,Saint-Paul-de-Varax,1637,0,341,341,0.2
1384,Saint-Rambert-en-Bugey,2179,0,37187,37187,17.1
1385,Saint-Rémy,922,0,17825,17825,19.3
1386,Saint-Sorlin-en-Bugey,1140,0,19455,19455,17.1
1387,Saint-Sulpice,259,0,5007,5007,19.3
1388,Saint-Trivier-de-Courtes,1122,0,21691,21691,19.3
1389,Saint-Trivier-sur-Moignans,1910,0,398,398,0.2
1390,Saint-Vulbas,1229,368092,20974,389066,316.6
1391,Salavre,295,0,5703,5703,19.3
1392,Samognat,645,0,24399,24399,37.8
1393,Sandrans,578,0,120,120,0.2
1396,Sault-Brénaz,1007,0,17186,17186,17.1
1397,Sauverny,1003,0,12911,12911,12.9
1398,Savigneux,1459,0,23108,23108,15.8
1399,Ségny,2676,0,34446,34446,12.9
1400,Seillonnaz,136,0,2321,2321,17.1
1401,Sergy,2279,0,29336,29336,12.9
1402,Sermoyer,659,0,9050,9050,13.7
1403,Serrières-de-Briord,1329,0,22681,22681,17.1
1404,Serrières-sur-Ain,135,0,1934,1934,14.3
1405,Servas,1287,0,24881,24881,19.3
1406,Servignat,180,0,3480,3480,19.3
1407,Seyssel,997,0,24081,24081,24.2
1408,Simandre-sur-Suran,664,0,12837,12837,19.3
1410,Sonthonnax-la-Montagne,287,0,10857,10857,37.8
1411,Souclin,263,0,4488,4488,17.1
1412,Sulignat,605,0,126,126,0.2
1415,Talissieu,514,0,5729,5729,11.1
1416,Tenay,1024,0,17476,17476,17.1
1418,Thil,1208,0,38945,38945,32.2
1419,Thoiry,6356,73643,81816,155459,24.5
1420,Thoissey,1644,0,8486,8486,5.2
1421,Torcieu,744,0,12697,12697,17.1
1422,Tossiat,1389,0,26853,26853,19.3
1423,Toussieux,1228,0,19449,19449,15.8
1424,Tramoyes,1845,0,59481,59481,32.2
1425,La Tranclière,288,0,5568,5568,19.3
1426,Val-Revermont,2494,0,48215,48215,19.3
1427,Trévoux,6931,423521,109773,533294,76.9
1428,Valeins,131,0,27,27,0.2
1429,Vandeins,725,0,14016,14016,19.3
1430,Varambon,664,0,9514,9514,14.3
1431,Vaux-en-Bugey,1218,0,20787,20787,17.1
1432,Verjon,343,0,6631,6631,19.3
1433,Vernoux,296,0,5722,5722,19.3
1434,Versailleux,500,0,104,104,0.2
1435,Versonnex,2222,0,28602,28602,12.9
1436,Vesancy,513,0,6604,6604,12.9
1437,Vescours,215,0,4156,4156,19.3
1439,Vésines,97,0,1332,1332,13.7
1441,Vieu-d'Izenave,727,0,27501,27501,37.8
1443,Villars-les-Dombes,5059,178112,1054,179166,35.4
1444,Villebois,1200,0,20479,20479,17.1
1445,Villemotier,607,0,11735,11735,19.3
1446,Villeneuve,1603,0,25388,25388,15.8
1447,Villereversure,1391,0,26891,26891,19.3
1448,Villes,390,0,4697,4697,12.0
1449,Villette-sur-Ain,763,0,159,159,0.2
1450,Villieu-Loyes-Mollon,3831,80668,65381,146049,38.1
1451,Viriat,6955,103867,134457,238324,34.3
1452,Virieu-le-Grand,1110,0,12371,12371,11.1
1453,Arvière-en-Valromey,715,0,7969,7969,11.1
1454,Virignin,1122,0,12505,12505,11.1
1456,Vongnes,71,0,791,791,11.1
1457,Vonnas,3233,0,13094,13094,4.1
2001,Abbécourt,513,0,9217,9217,18.0
2002,Achery,586,0,10529,10529,18.0
2003,Acy,1013,0,8475,8475,8.4
2004,Agnicourt-et-Séchelles,188,0,947,947,5.0
2005,Aguilcourt,405,0,1090,1090,2.7
2006,Aisonville-et-Bernoville,257,0,1417,1417,5.5
2007,Aizelles,119,0,855,855,7.2
2008,Aizy-Jouy,308,0,607,607,2.0
2009,Alaincourt,522,0,0,0,0.0
2010,Allemant,166,0,327,327,2.0
2011,Ambleny,1203,0,1158,1158,1.0
2012,Ambrief,81,0,271,271,3.3
2013,Amifontaine,386,0,1039,1039,2.7
2014,Amigny-Rouy,710,0,12757,12757,18.0
2015,Ancienville,78,0,75,75,1.0
2016,Andelain,211,0,3791,3791,18.0
2017,Anguilcourt-le-Sart,281,0,5049,5049,18.0
2018,Anizy-le-Grand,2510,0,2485,2485,1.0
2019,Annois,352,0,50309,50309,142.9
2020,Any-Martin-Rieux,455,0,8932,8932,19.6
2021,Archon,77,0,848,848,11.0
2022,Arcy-Sainte-Restitue,398,0,1329,1329,3.3
2023,Armentières-sur-Ourcq,98,0,2265,2265,23.1
2024,Arrancy,45,0,1719,1719,38.2
2025,Artemps,363,0,51881,51881,142.9
2027,Assis-sur-Serre,203,0,1023,1023,5.0
2028,Athies-sous-Laon,2600,12750,99293,112043,43.1
2029,Attilly,345,0,3126,3126,9.1
2030,Aubencheul-aux-Bois,243,0,2202,2202,9.1
2031,Aubenton,659,0,12936,12936,19.6
2032,Aubigny-aux-Kaisnes,239,0,34158,34158,142.9
2033,Aubigny-en-Laonnois,101,0,726,726,7.2
2034,Audignicourt,110,0,106,106,1.0
2035,Audigny,282,0,1555,1555,5.5
2036,Augy,68,0,134,134,2.0
2037,Aulnois-sous-Laon,1366,0,52167,52167,38.2
2038,Les Autels,63,0,694,694,11.0
2039,Autremencourt,175,0,882,882,5.0
2040,Autreppes,176,0,3138,3138,17.8
2041,Autreville,791,0,14212,14212,18.0
2042,Azy-sur-Marne,370,0,8552,8552,23.1
2043,Bagneux,62,0,519,519,8.4
2044,Bancigny,25,0,446,446,17.8
2046,Barenton-Bugny,556,0,2801,2801,5.0
2047,Barenton-Cel,108,0,544,544,5.0
2048,Barenton-sur-Serre,128,0,645,645,5.0
2049,Barisis-aux-Bois,746,4280,738,5018,6.7
2050,Barzy-en-Thiérache,317,0,5653,5653,17.8
2051,Barzy-sur-Marne,399,0,9223,9223,23.1
2052,Bassoles-Aulers,130,0,129,129,1.0
2053,Vallées en Champagne,590,0,13637,13637,23.1
2054,Bazoches-et-Saint-Thibaut,517,0,1020,1020,2.0
2055,Beaumé,84,0,1649,1649,19.6
2056,Beaumont-en-Beine,172,0,3090,3090,18.0
2057,Beaurevoir,1324,0,11996,11996,9.1
2058,Beaurieux,813,0,5844,5844,7.2
2059,Beautor,2625,0,47165,47165,18.0
2060,Beauvois-en-Vermandois,257,0,2328,2328,9.1
2061,Becquigny,263,0,2383,2383,9.1
2062,Belleau,133,0,3074,3074,23.1
2063,Bellenglise,379,0,3434,3434,9.1
2064,Belleu,3624,54900,30318,85218,23.5
2065,Bellicourt,561,0,5083,5083,9.1
2066,Benay,188,0,0,0,0.0
2067,Bergues-sur-Sambre,206,0,3673,3673,17.8
2068,Berlancourt,81,0,1444,1444,17.8
2069,Berlise,104,0,1146,1146,11.0
2070,Bernot,434,0,2392,2392,5.5
2071,Berny-Rivière,633,0,609,609,1.0
2072,Berrieux,177,0,1272,1272,7.2
2073,Berry-au-Bac,720,0,1937,1937,2.7
2074,Bertaucourt-Epourdon,586,0,10529,10529,18.0
2075,Berthenicourt,198,0,0,0,0.0
2076,Bertricourt,154,0,414,414,2.7
2078,Besmé,166,0,164,164,1.0
2079,Besmont,137,0,2689,2689,19.6
2080,Besny-et-Loizy,314,0,11992,11992,38.2
2081,Béthancourt-en-Vaux,425,0,7636,7636,18.0
2082,Beugneux,117,0,391,391,3.3
2083,Beuvardes,741,0,17128,17128,23.1
2084,Bézu-le-Guéry,250,0,136,136,0.5
2085,Bézu-Saint-Germain,991,0,22906,22906,23.1
2086,Bichancourt,989,0,17770,17770,18.0
2087,Bieuxy,34,0,33,33,1.0
2088,Bièvres,80,0,3055,3055,38.2
2089,Billy-sur-Aisne,1141,0,9546,9546,8.4
2090,Billy-sur-Ourcq,195,0,651,651,3.3
2091,Blanzy-lès-Fismes,91,0,179,179,2.0
2093,Blérancourt,1212,0,1200,1200,1.0
2094,Blesmes,473,0,10933,10933,23.1
2095,Bohain-en-Vermandois,5724,79480,51860,131340,22.9
2096,Bois-lès-Pargny,188,0,947,947,5.0
2097,Boncourt,270,0,727,727,2.7
2098,Bonneil,376,0,8691,8691,23.1
2099,Bonnesvalyn,207,0,4785,4785,23.1
2100,Bony,139,0,1259,1259,9.1
2101,Bosmont-sur-Serre,171,0,861,861,5.0
2102,Bouconville-Vauclair,184,0,1323,1323,7.2
2103,Boué,1316,0,23467,23467,17.8
2104,Bouffignereux,95,0,256,256,2.7
2105,Bouresches,187,0,4322,4322,23.1
2106,Bourg-et-Comin,809,0,5816,5816,7.2
2107,Bourguignon-sous-Coucy,104,0,103,103,1.0
2108,Bourguignon-sous-Montbavin,146,0,145,145,1.0
2109,La Bouteille,468,0,8346,8346,17.8
2110,Braine,2243,0,4424,4424,2.0
2111,Brancourt-en-Laonnois,710,0,703,703,1.0
2112,Brancourt-le-Grand,558,0,5056,5056,9.1
2114,Brasles,1711,24651,39549,64200,37.5
2115,Braye-en-Laonnois,189,0,1359,1359,7.2
2116,Braye-en-Thiérache,133,0,2372,2372,17.8
2117,Bray-Saint-Christophe,65,0,9290,9290,142.9
2118,Braye,130,0,256,256,2.0
2119,Brécy,317,0,7327,7327,23.1
2120,Brenelle,194,0,383,383,2.0
2121,Breny,219,0,731,731,3.3
2122,Brie,54,0,970,970,18.0
2123,Brissay-Choigny,297,0,0,0,0.0
2124,Brissy-Hamégicourt,653,0,0,0,0.0
2125,Brumetz,179,0,4137,4137,23.1
2126,Brunehamel,458,0,5046,5046,11.0
2127,Bruyères-sur-Fère,195,0,4507,4507,23.1
2128,Bruyères-et-Montbérault,1419,0,54191,54191,38.2
2129,Bruys,19,0,37,37,1.9
2130,Bucilly,202,0,3965,3965,19.6
2131,Bucy-le-Long,1915,0,3777,3777,2.0
2132,Bucy-lès-Cerny,188,0,7180,7180,38.2
2133,Bucy-lès-Pierrepont,406,0,1092,1092,2.7
2134,Buire,822,0,16136,16136,19.6
2135,Buironfosse,1125,0,20061,20061,17.8
2136,Burelles,123,0,2193,2193,17.8
2137,Bussiares,131,0,3028,3028,23.1
2138,Buzancy,183,0,611,611,3.3
2139,Caillouël-Crépigny,459,0,8247,8247,18.0
2140,Camelin,436,0,432,432,1.0
2141,La Capelle,1757,0,31331,31331,17.8
2142,Castres,247,0,35302,35302,142.9
2143,Le Catelet,185,0,1676,1676,9.1
2144,Caulaincourt,144,0,1305,1305,9.1
2145,Caumont,546,0,9810,9810,18.0
2146,Celles-lès-Condé,94,0,2173,2173,23.1
2148,Celles-sur-Aisne,252,0,497,497,2.0
2149,Cerizy,59,0,0,0,0.0
2150,Cerny-en-Laonnois,63,0,2406,2406,38.2
2151,Cerny-lès-Bucy,113,0,4315,4315,38.2
2152,Cerseuil,88,0,174,174,2.0
2153,Cessières-Suzy,796,0,30399,30399,38.2
2154,Chacrise,367,0,1226,1226,3.3
2155,Chaillevois,197,0,195,195,1.0
2156,Chalandry,242,0,1219,1219,5.0
2157,Chambry,831,5800,31736,37536,45.2
2158,Chamouille,270,0,10311,10311,38.2
2159,Champs,311,0,308,308,1.0
2160,Chaourse,497,0,5476,5476,11.0
2162,La Chapelle-sur-Chézy,299,0,163,163,0.5
