COG,commune,population,subvention_commune,subvention_EPCI_distributed,total_subventions,total_subventions_parHab
90030,Croix,178,0,1059,1059,5.9
90031,Cunelières,344,0,12001,12001,34.9
90032,Danjoutin,3531,56392,123189,179581,50.9
90033,Delle,5677,569017,33764,602781,106.2
90034,Denney,762,0,26585,26585,34.9
90035,Dorans,823,0,28713,28713,34.9
90036,Eguenigue,270,0,9420,9420,34.9
90037,Éloie,954,6418,33283,39701,41.6
90039,Essert,3382,16100,117991,134091,39.6
90041,Étueffont,1395,0,41552,41552,29.8
90042,Évette-Salbert,2022,0,70543,70543,34.9
90043,Faverois,592,0,3521,3521,5.9
90044,Felon,228,0,6791,6791,29.8
90045,Fêche-l'Église,721,0,4288,4288,5.9
90046,Florimont,465,0,2766,2766,5.9
90047,Fontaine,601,4150,20968,25118,41.8
90048,Fontenelle,135,0,4710,4710,34.9
90049,Foussemagne,885,1500,30876,32376,36.6
90050,Frais,237,950,8268,9218,38.9
90051,Froidefontaine,446,0,2653,2653,5.9
90052,Giromagny,2897,45850,86291,132141,45.6
90053,Grandvillars,2963,122328,17622,139950,47.2
90054,Grosmagny,551,1655,16412,18067,32.8
90055,Grosne,322,0,1915,1915,5.9
90056,Joncherey,1439,0,8558,8558,5.9
90057,Lachapelle-sous-Chaux,748,0,22280,22280,29.8
90058,Lachapelle-sous-Rougemont,554,3900,16502,20402,36.8
90059,Lacollonge,234,0,8164,8164,34.9
90060,Lagrange,139,750,4849,5599,40.3
90061,Lamadeleine-Val-des-Anges,49,0,1460,1460,29.8
90062,Larivière,278,0,9699,9699,34.9
90063,Lebetain,419,0,2492,2492,5.9
90064,Lepuix-Neuf,315,0,1873,1873,5.9
90065,Lepuix,1113,0,33152,33152,29.8
90066,Leval,248,0,7387,7387,29.8
90067,Menoncourt,391,3841,13641,17482,44.7
90068,Meroux-Moval,1420,8524,49541,58065,40.9
90069,Méziré,1268,6620,44238,50858,40.1
90070,Montbouton,425,0,2528,2528,5.9
90071,Montreux-Château,1167,9050,40714,49764,42.6
90072,Morvillars,1098,500,38307,38807,35.3
90074,Novillard,309,0,10780,10780,34.9
90075,Offemont,4054,67797,141436,209233,51.6
90076,Pérouse,1199,2470,41831,44301,36.9
90077,Petit-Croix,305,0,10641,10641,34.9
90078,Petitefontaine,192,2720,5719,8439,44.0
90079,Petitmagny,323,1840,9621,11461,35.5
90080,Phaffans,429,0,14967,14967,34.9
90081,Réchésy,765,0,4550,4550,5.9
90082,Autrechêne,279,0,9734,9734,34.9
90083,Recouvrance,144,0,856,856,5.9
90084,Reppe,324,950,11304,12254,37.8
90085,Riervescemont,86,310,2562,2872,33.4
90086,Romagny-sous-Rougemont,214,1470,6374,7844,36.7
90087,Roppe,1042,0,36353,36353,34.9
90088,Rougegoutte,988,0,29429,29429,29.8
90089,Rougemont-le-Château,1481,8953,44114,53067,35.8
90090,Saint-Dizier-l'Évêque,430,0,2557,2557,5.9
90091,Saint-Germain-le-Châtelet,664,0,19778,19778,29.8
90093,Sermamagny,945,0,32969,32969,34.9
90094,Sevenans,696,2550,24282,26832,38.6
90095,Suarce,439,0,2611,2611,5.9
90096,Thiancourt,281,0,1671,1671,5.9
90097,Trévenans,1290,0,45005,45005,34.9
90098,Urcerey,253,0,8827,8827,34.9
90099,Valdoie,5193,96278,181173,277451,53.4
90100,Vauthiermont,220,3100,7675,10775,49.0
90101,Vellescot,250,0,1487,1487,5.9
90102,Vescemont,707,0,21059,21059,29.8
90103,Vétrigne,647,0,22573,22573,34.9
90104,Vézelois,1026,0,35795,35795,34.9
