country,annais,births,categorized_births,Traditionnel_pct,Moderne_pct,Inventé_pct,Européen_pct,Musulman_pct,Africain_pct,Asiatique_pct
france entiere,1965,857195,857170,95.0,0.78,0.41,2.03,2.05,0.41,0.0
france entiere,1966,853115,853095,94.5,0.88,0.47,2.22,2.22,0.44,0.0
france entiere,1967,827965,827930,94.01,0.92,0.54,2.49,2.44,0.44,0.0
france entiere,1968,818815,818785,93.77,0.91,0.63,2.7,2.35,0.42,0.0
france entiere,1969,820750,820740,93.11,1.09,0.74,2.98,2.42,0.45,0.0
france entiere,1970,823330,823315,92.24,1.32,0.83,3.49,2.49,0.42,0.0
france entiere,1971,851860,851840,90.99,1.86,0.86,4.05,2.63,0.43,0.0
france entiere,1972,844235,844225,89.18,2.68,0.82,4.98,2.75,0.44,0.0
france entiere,1973,820720,820710,87.71,3.13,0.81,5.73,2.96,0.49,0.0
france entiere,1974,761985,761970,86.5,3.35,0.77,6.38,3.32,0.58,0.01
france entiere,1975,703595,703585,85.08,4.16,0.77,6.8,3.5,0.61,0.0
france entiere,1976,674575,674570,84.17,4.67,0.72,7.01,3.73,0.63,0.01
france entiere,1977,693760,693755,82.49,5.58,0.74,7.44,4.1,0.69,0.0
france entiere,1978,684630,684620,81.14,6.01,0.7,8.12,4.36,0.78,0.01
france entiere,1979,702055,702040,80.54,6.11,0.66,8.63,4.39,0.75,0.01
france entiere,1980,741865,741845,80.47,6.05,0.67,8.66,4.43,0.8,0.01
france entiere,1981,743425,743400,78.95,6.44,0.72,9.41,4.71,0.9,0.01
france entiere,1982,733765,733745,77.75,6.91,0.69,9.93,4.94,0.95,0.02
france entiere,1983,686415,686405,77.25,6.88,0.65,10.29,5.12,1.05,0.02
france entiere,1984,696965,696945,75.56,7.35,0.73,11.49,5.06,1.05,0.01
france entiere,1985,704205,704200,75.08,7.39,0.81,12.06,4.85,1.0,0.02
france entiere,1986,712560,712550,74.89,7.41,0.97,12.33,4.6,0.92,0.01
france entiere,1987,702530,702520,74.28,7.95,1.08,12.53,4.34,0.87,0.03
france entiere,1988,704740,704735,72.75,8.9,1.22,13.06,4.28,0.8,0.02
france entiere,1989,698170,698165,71.75,9.21,1.36,13.52,4.41,0.8,0.03
france entiere,1990,692720,692705,70.78,9.13,1.58,14.29,4.5,0.77,0.02
france entiere,1991,688700,688675,70.41,9.14,1.86,14.36,4.57,0.77,0.03
france entiere,1992,669305,669295,69.2,9.35,2.2,14.86,4.74,0.71,0.04
france entiere,1993,632950,632920,68.52,9.72,2.49,14.74,4.95,0.76,0.05
france entiere,1994,631600,631580,68.91,8.97,2.82,14.8,4.99,0.74,0.04
france entiere,1995,646230,646220,68.9,8.55,3.19,15.02,4.93,0.69,0.03
france entiere,1996,646875,646855,68.82,8.47,3.25,15.16,4.95,0.69,0.03
france entiere,1997,636765,636750,68.11,8.21,3.51,15.5,5.36,0.71,0.03
france entiere,1998,643560,643535,67.06,8.35,3.87,15.77,5.76,0.79,0.03
france entiere,1999,648165,648160,65.42,8.45,4.42,16.26,6.38,0.86,0.05
france entiere,2000,677580,677575,63.78,8.49,4.81,17.0,6.94,0.97,0.06
france entiere,2001,665490,665480,61.24,8.47,5.64,17.9,7.96,1.14,0.08
france entiere,2002,649500,649485,58.58,8.38,6.22,19.24,8.94,1.12,0.09
france entiere,2003,640845,640810,56.1,7.86,7.14,20.63,9.95,1.21,0.14
france entiere,2004,639010,638960,53.81,6.99,7.7,22.37,11.12,1.32,0.15
france entiere,2005,638725,638715,51.89,6.43,8.56,23.24,12.2,1.4,0.19
france entiere,2006,653390,653330,50.12,5.99,9.5,23.75,13.21,1.41,0.23
france entiere,2007,639520,639505,48.59,5.69,10.11,24.03,14.38,1.46,0.25
france entiere,2008,643595,643540,47.25,5.35,10.93,24.35,15.16,1.57,0.31
france entiere,2009,637740,637695,45.95,5.37,11.83,23.93,16.31,1.71,0.36
france entiere,2010,635495,635440,44.1,5.35,11.92,24.93,17.25,1.82,0.39
france entiere,2011,617765,617730,43.61,4.97,12.1,24.99,18.12,1.82,0.4
france entiere,2012,615025,614865,42.79,4.82,12.45,24.75,19.28,2.01,0.4
france entiere,2013,605085,604930,42.02,4.8,12.77,24.81,20.09,2.13,0.41
france entiere,2014,604075,603895,41.57,4.65,12.7,24.84,20.79,2.3,0.44
france entiere,2015,586340,586080,41.65,4.39,12.64,24.41,21.42,2.41,0.43
france entiere,2016,569660,569470,41.07,4.17,12.68,24.77,22.02,2.46,0.47
france entiere,2017,556340,556180,40.62,3.94,12.8,24.7,22.61,2.64,0.42
france entiere,2018,545475,545210,40.16,3.94,13.18,24.65,22.67,2.78,0.44
france entiere,2019,538780,538555,39.17,3.86,13.69,25.04,23.1,2.87,0.42
france entiere,2020,522120,521855,38.15,3.81,14.59,25.13,23.01,2.99,0.45
france entiere,2021,528590,528320,37.88,3.62,14.81,25.88,22.38,2.97,0.48
france entiere,2022,509800,509435,36.77,3.49,15.0,25.78,23.68,3.19,0.48
france entiere,2023,468175,467505,36.17,3.25,14.67,25.75,24.91,3.43,0.44
france entiere,2024,453710,452945,36.65,3.1,14.45,25.2,25.16,3.54,0.42
france metro,1900,385100,385085,98.57,0.01,0.13,1.25,0.06,0.0,0.0
france metro,1901,423450,423445,98.56,0.02,0.13,1.26,0.06,0.0,0.0
france metro,1902,435380,435380,98.54,0.01,0.13,1.28,0.06,0.0,0.0
france metro,1903,438065,438055,98.59,0.02,0.13,1.24,0.05,0.0,0.0
france metro,1904,448360,448340,98.58,0.02,0.12,1.25,0.06,0.0,0.0
france metro,1905,458040,458025,98.6,0.02,0.13,1.22,0.06,0.0,0.0
france metro,1906,469435,469420,98.61,0.02,0.12,1.22,0.06,0.0,0.0
france metro,1907,469325,469320,98.58,0.02,0.14,1.23,0.07,0.0,0.0
france metro,1908,491770,491770,98.58,0.02,0.12,1.25,0.07,0.0,0.0
france metro,1909,493725,493700,98.66,0.02,0.13,1.17,0.07,0.0,0.0
france metro,1910,502155,502130,98.62,0.02,0.12,1.21,0.08,0.0,0.0
france metro,1911,479840,479830,98.64,0.02,0.12,1.18,0.08,0.0,0.0
france metro,1912,511910,511900,98.59,0.02,0.12,1.24,0.08,0.0,0.0
france metro,1913,513650,513645,98.61,0.01,0.11,1.24,0.07,0.0,0.0
france metro,1914,504690,504675,98.68,0.01,0.11,1.18,0.06,0.0,0.0
france metro,1915,320445,320440,98.81,0.01,0.08,1.08,0.05,0.0,0.0
france metro,1916,254010,254010,98.86,0.0,0.06,1.06,0.06,0.0,0.0
france metro,1917,276130,276125,98.85,0.01,0.07,1.05,0.04,0.0,0.0
france metro,1918,317805,317800,98.97,0.01,0.05,0.94,0.05,0.0,0.0
france metro,1919,356515,356515,99.11,0.01,0.06,0.81,0.04,0.0,0.0
france metro,1920,613135,613135,99.06,0.01,0.06,0.85,0.05,0.0,0.0
france metro,1921,600990,600990,99.03,0.02,0.05,0.88,0.05,0.0,0.0
france metro,1922,574960,574960,99.04,0.02,0.05,0.87,0.05,0.0,0.0
france metro,1923,578830,578830,98.92,0.02,0.06,0.99,0.05,0.0,0.0
france metro,1924,579255,579240,98.7,0.02,0.08,1.18,0.06,0.0,0.0
france metro,1925,594750,594740,98.57,0.02,0.09,1.3,0.06,0.0,0.0
france metro,1926,597135,597120,98.55,0.03,0.08,1.32,0.07,0.0,0.0
france metro,1927,591765,591760,98.6,0.03,0.09,1.26,0.06,0.0,0.0
france metro,1928,596010,596010,98.72,0.03,0.07,1.16,0.05,0.0,0.0
