departement,commune,code postal,adresse,nom,COG,validation,latitude,longitude,confidenceCoordinates
35,Rennes,35000,9 Rue du Docteur Assant 35000 Rennes,Mosquée,35238,exact_match,48.102662,-1.683056,0.181818181818182
35,Rennes,35000,10 Square du Docteur Fernand 35000 Rennes,Salle de prière,35238,exact_match,48.092694,-1.6543428,0.63
35,Rennes,35000,"33, Av des Buttes de Cosmes - 35000 RENNES",Salle de prière de la Cité Universitaire de Beaulieu,35238,exact_match,48.122679,-1.6373718,1
35,Saint-Malo,35400,46 rue des antilles - 35400 SAINT-MALO,Mosquée de Saint-Malo,35288,exact_match,48.638279,-1.999041,1
35,Saint-Péran,35380,"4, rue Sainte Emerance - 35380 SAINT-PERAN",Mosquée,35305,exact_match,48.053276,-2.055816,1
36,Châteauroux,36000,12 Rue Denis Papin - 36000 CHÂTEAUROUX,Mosquée Ibn Abbâs,36044,exact_match,46.806905,1.704186,1
36,Châteauroux,36000,3 Rue Michelet - 36000 CHÂTEAUROUX,Salle de prière,36044,exact_match,46.801552,1.7045576,0.9
36,Issoudun,36100,"Av. du 8 Mai, 36100 Issoudun, France",Mosquée d’Issoudun,36088,google map,46.9440231744186,2.01167446396598,1
37,Amboise,37400,150 bis avenue Léonard de Vinci - 37400 AMBOISE,Mosquée d'Amboise,37003,exact_match,47.402976,1.01052,1
37,Château-Renault,37110,"15, rue Gambetta - 37110 CHÂTEAU-RENAULT",Mosquée anciens Combattants d'Algérie pour La France,37063,exact_match,47.594303,0.913621,1
37,Joué-lès-Tours,37300,Rue Léon Foucault - 37300 JOUÉ-LÈS-TOURS,Mosquée de Joué-Lès-Tours,37122,exact_match,47.3474560163657,0.658465772301861,1
37,Joué-lès-Tours,37300,2 Rue Paul Sabatier - 37300 JOUÉ-LÈS-TOURS,Mosquée Salam,37122,exact_match,47.3472651,0.6582703,1
37,Saint-Pierre-des-Corps,37700,71 Rue de la Rabatterie 37700 Saint-Pierre-des-Corps,Mosquée St Pierre des Corps,37233,exact_match,47.39161085,0.7229813,0.45
37,Tours,37000,18 Rue Lobin - 37000 TOURS,Mosquée de Tours,37261,exact_match,47.3952553,0.7005184,1
37,Tours,37000,"66, RUE HENRI MARTIN  - 37000 TOURS",Mosquée Turque,37261,exact_match,47.3750367,0.6917662,1
37,Tours,37000,Allée de la Belle Fille - 37000 TOURS,Salle de prière,37261,exact_match,47.3783340803331,0.696587277945527,1
37,Tours,37000,Place Guido d'Arezzo 37000 Tours,Mosquée de Bouzignac,37261,exact_match,47.3755271904302,0.709843950858066,1
38,Bourgoin-Jallieu,38300,"212 bis, rue de la Libération - 38300 BOURGOIN JALLIEU",Mosquée,38053,exact_match,45.597677,5.274099,1
38,Bourgoin-Jallieu,38300,"3, rue Paul Langevin - 38300 BOURGOIN JALLIEU",Mosquée,38053,exact_match,45.594409,5.275543,1
38,Bourgoin-Jallieu,38300,"11, rue Pasteur - 38300 BOURGOIN JALLIEU",Mosquée Abou Bakr Siddik,38053,exact_match,45.598598,5.273534,1
38,Charvieu-Chavagneux,38230,"49, avenue du Collège - 38230 CHARVIEU CHAVAGNEUX",Mosquée OMAR IBN ABDELAZIZ,38085,exact_match,45.7439185,5.16097681854072,1
38,Chavanoz,38230,9010 rue de l'Emaillage - 38230 CHAVANOZ,Mosquée Chavanoz,38097,exact_match,45.7622402,5.18470984412254,1
38,Crolles,38920,60 Rue des Grives   - 38920  CROLLES,Mosquée Crolles-A.C.M.C,38140,exact_match,45.2719863,5.8913149,0.75
38,Échirolles,38130,6 RUE DENIS PAPIN - 38130 ECHIROLLES,Salle de priére RAMADAN,38151,exact_match,45.138039,5.714524,1
38,Échirolles,38130,Allée du Gâtinais - 38130 ECHIROLLES,Mosquée As-Salem,38151,exact_match,45.1575610838382,5.72065650046631,1
38,Échirolles,38130,8 Allée du Vivarais - 38130 ECHIROLLES,Mosquée Arrahma,38151,exact_match,45.155059,5.715731,1
38,Échirolles,38130,6 Rue du 19 Mars 1962 - 38130 ECHIROLLES,Grande Mosquée d'Echirolles,38151,exact_match,45.1571756,5.7044366,0.833333333333333
38,Échirolles,38130,7 Rue des Grottes de la Luire 38130 Échirolles,Centre Citoyen Musulman d'Echirolles Ouest,38151,exact_match,45.145984236265,5.69960190545929,0.333333333333333
38,Fontaine,38600,"64, avenue du Vercors - 38600 FONTAINE",Mosquée Bilel,38169,exact_match,45.1924817,5.693697,1
38,Grenoble,38100,9 Avenue Paul Cocat - 38100 GRENOBLE,Mosquée de Teissère,38185,exact_match,45.17139665,5.74316786548965,1
38,Grenoble,38100,18 Rue des Trembles - 38100 GRENOBLE,Mosquée El-Kawthar,38185,exact_match,45.16583225,5.7290324,1
38,Grenoble,38100,21 Rue Edmond Rostand - 38100 GRENOBLE,Mosquée ar Rahma,38185,exact_match,45.167903,5.71981862121212,1
38,Grenoble,38100,Rue des Colibris - 38100 GRENOBLE,Mosquée Turque,38185,exact_match,45.167165100882,5.73009883381868,1
