Type,Code,Français,Etrangers,Ensemble,Français de naissance,Français par acquisition,Portugais,Italiens,Espagnols,Autres nationalités de l'UE,Autres nationalités d'Europe,Algériens,Marocains,Tunisiens,Autres nationalités d'Afrique,Turcs,Autres nationalités
com-,11384,113,17,130,108.12,4.88,1.73,0.45,1.23,4.01,3.67,0.79,2.1,0.13,0.81,0.12,1.97
com-,61095,531,1,532,520.38,10.62,0.06,0.02,0.02,0.12,0.18,0.05,0.08,0.04,0.15,0.14,0.15
com-,19053,266,6,272,258.05,7.95,1.2,0.18,0.2,0.85,0.86,0.21,0.72,0.09,0.56,0.56,0.57
com-,64255,596,9,605,577.3,18.7,2.05,0.23,3.21,0.9,0.73,0.15,0.43,0.05,0.36,0.02,0.87
com-,2719,1965,23,1988,1920.66,44.34,3.05,0.64,0.85,2.86,0.81,1.93,3,0.78,4.7,1.58,2.8
com-,30101,619,25,644,593.68,25.32,2.43,0.98,2.57,4.61,2,2.41,6.34,0.44,0.9,0.52,1.79
com-,43025,2938,26,2964,2882.57,55.43,4.37,1.19,0.68,3.07,3.59,0.96,3.74,0.48,3.11,1.7,3.13
com-,31238,479,13,492,456.04,22.96,1.98,0.65,1.24,1.69,1.06,1.47,1.35,0.39,1.41,0.25,1.51
com-,76283,228,1,229,222.79,5.21,0.08,0.03,0.02,0.07,0.05,0.16,0.13,0.06,0.23,0.04,0.12
com-,76680,172,2,174,168.07,3.93,0.16,0.06,0.05,0.14,0.1,0.32,0.26,0.12,0.47,0.09,0.24
com-,1273,1769,29,1798,1676.4,92.6,3.82,3.07,1.59,3.45,6.36,1.28,2.31,0.63,1.87,2.11,2.5
com-,77154,1209,59,1268,1109.18,99.82,11.6,1.89,1.45,4.48,2.46,5.16,3.55,2.16,15.88,2.71,7.66
com-,10305,90,0,90,86.63,3.37,0,0,0,0,0,0,0,0,0,0,0
com-,17351,2072,28,2100,2039.85,32.15,4.3,0.62,0.97,5.73,6.62,0.82,1.28,0.52,3.26,0.58,3.3
com-,22223,1985,28,2013,1957.06,27.94,2.34,0.57,0.45,6.11,7.26,0.77,1.09,0.58,5.18,0.61,3.02
com-,11177,23,7,30,22.01,0.99,0.71,0.18,0.51,1.65,1.51,0.33,0.87,0.05,0.33,0.05,0.81
com-,11145,3963,108,4071,3791.8,171.2,10.98,2.85,7.81,25.49,23.29,5.04,13.36,0.82,5.13,0.75,12.49
com-,57702,168,1,169,158.18,9.82,0.08,0.14,0.03,0.28,0.11,0.1,0.06,0.01,0.04,0.07,0.06
com-,7279,1912,43,1955,1861.3,50.7,5.66,1.86,2.42,9.27,4.01,3.8,5.53,1.39,2.59,2.03,4.45
com-,80605,199,0,199,196.67,2.33,0,0,0,0,0,0,0,0,0,0,0
com-,67464,960,14,974,920.02,39.98,0.92,0.8,0.4,3.97,1.42,0.61,0.76,0.29,0.92,2.37,1.54
com-,89017,222,2,224,212.85,9.15,0.33,0.06,0.06,0.18,0.14,0.1,0.31,0.13,0.35,0.13,0.2
com-,1069,1502,16,1518,1423.38,78.62,2.11,1.7,0.88,1.91,3.51,0.71,1.28,0.35,1.03,1.17,1.38
com-,58085,700,25,725,682.4,17.6,2.55,0.52,0.4,5.69,2.73,1.05,2.25,0.57,4.04,1.22,3.99
com-,40166,71,6,77,69.11,1.89,2.13,0.16,0.72,0.91,0.54,0.11,0.39,0.06,0.44,0.02,0.53
com-,80826,744,7,751,735.28,8.72,1.11,0.16,0.27,1.28,0.58,0.47,0.55,0.37,1.05,0.36,0.8
com-,89323,145,1,146,139.02,5.98,0.17,0.03,0.03,0.09,0.07,0.05,0.15,0.07,0.18,0.07,0.1
com-,32190,513,19,532,496.44,16.56,2.92,0.55,1.83,4.04,4.94,0.42,1.52,0.24,0.95,0.02,1.57
com-,39209,296,6,302,286.83,9.17,1.12,0.27,0.18,0.43,1.02,0.46,0.62,0.11,0.53,0.86,0.41
com-,2B029,330,10,340,319.69,10.31,2.07,0.75,0.17,1.57,0.37,0.43,3.7,0.34,0.25,0,0.35
com-,77374,2040,109,2149,1871.56,168.44,21.43,3.49,2.68,8.27,4.54,9.53,6.56,4,29.33,5.01,14.15
com-,18056,227,7,234,221.33,5.67,1.66,0.24,0.29,0.92,0.58,0.48,0.5,0.29,0.79,0.43,0.8
com-,80482,140,1,141,138.36,1.64,0.16,0.02,0.04,0.18,0.08,0.07,0.08,0.05,0.15,0.05,0.11
com-,34321,2108,65,2173,2018.05,89.95,5.34,3.58,7.57,13.03,7.06,4.26,13.95,0.89,3.21,1.02,5.1
com-,8105,42300,3334,45634,41106.11,1193.89,208.05,195.62,67.04,1271.99,147.37,549.31,212.96,36.99,224.52,198.51,221.63
com-,60669,477,10,487,455.05,21.95,1.52,0.35,0.31,0.7,0.39,1,1.27,0.29,2.28,0.72,1.17
com-,24192,92,5,97,89.75,2.25,0.65,0.09,0.14,1.07,1.73,0.11,0.34,0.03,0.34,0.06,0.44
com-,69197,2205,31,2236,2078.51,126.49,3.99,2.27,1.06,2.26,2.2,5.95,1.73,2.71,3.81,1.86,3.17
com-,62618,1289,4,1293,1270.88,18.12,0.14,0.18,0.08,0.53,0.29,0.63,0.86,0.15,0.59,0.13,0.42
com-,77054,707,29,736,648.63,58.37,5.7,0.93,0.71,2.2,1.21,2.54,1.75,1.06,7.8,1.33,3.77
com-,77057,528,45,573,484.4,43.6,8.85,1.44,1.11,3.41,1.87,3.93,2.71,1.65,12.11,2.07,5.84
com-,89424,129,4,133,123.68,5.32,0.66,0.11,0.13,0.35,0.28,0.2,0.62,0.27,0.71,0.26,0.4
com-,50184,1650,32,1682,1634.56,15.44,1.03,0.61,0.55,5.3,13.87,0.79,0.95,0.53,3.97,0.17,4.24
com-,7158,92,7,99,89.56,2.44,0.92,0.3,0.39,1.51,0.65,0.62,0.9,0.23,0.42,0.33,0.72
com-,2256,125,0,125,122.18,2.82,0,0,0,0,0,0,0,0,0,0,0
com-,27548,1154,34,1188,1121.41,32.59,4.28,0.74,0.97,2.43,1.86,2.98,3.2,0.86,9.29,3.49,3.9
com-,15107,163,0,163,161.27,1.73,0,0,0,0,0,0,0,0,0,0,0
com-,73271,302,7,309,291.07,10.93,1.27,0.97,0.19,0.94,0.94,0.57,0.4,0.17,0.42,0.56,0.58
com-,89342,588,36,624,563.75,24.25,5.98,1.03,1.14,3.15,2.56,1.83,5.55,2.4,6.36,2.38,3.61
com-,11248,65,2,67,62.19,2.81,0.2,0.05,0.14,0.47,0.43,0.09,0.25,0.02,0.1,0.01,0.23
com-,66057,494,38,532,468.44,25.56,5.1,0.93,10.66,8.38,4.43,2.55,1.97,0.26,0.96,0.17,2.58
com-,42230,1581,13,1594,1528.19,52.81,1.79,1,0.34,0.79,1.24,2.52,0.84,0.74,1.1,1.67,0.97
com-,58216,136,6,142,132.58,3.42,0.61,0.12,0.1,1.37,0.66,0.25,0.54,0.14,0.97,0.29,0.96
com-,30084,591,6,597,566.83,24.17,0.58,0.24,0.62,1.11,0.48,0.58,1.52,0.11,0.22,0.13,0.43
com-,37053,106,7,113,103.05,2.95,1.52,0.19,0.13,0.7,0.76,0.68,0.54,0.15,1.32,0.14,0.86
com-,30234,278,13,291,266.63,11.37,1.26,0.51,1.33,2.4,1.04,1.25,3.29,0.23,0.47,0.27,0.93
com-,50482,173,1,174,171.38,1.62,0.03,0.02,0.02,0.17,0.43,0.02,0.03,0.02,0.12,0.01,0.13
com-,13021,5576,141,5717,5328.97,247.03,14.52,9.11,9.61,15.63,7.05,23.62,24.34,9.96,8.34,6.17,12.66
com-,38358,747,10,757,707.34,39.66,1.59,1.04,0.39,0.93,0.68,1.56,0.57,0.55,0.96,0.88,0.85
com-,49193,3803,75,3878,3751.58,51.42,9.05,2.23,2.48,14.89,9.31,2.85,5.3,2.21,13.1,2.41,11.18
com-,1163,2000,24,2024,1895.31,104.69,3.16,2.54,1.32,2.86,5.26,1.06,1.91,0.52,1.55,1.75,2.06
com-,27432,710,3,713,689.95,20.05,0.38,0.07,0.09,0.21,0.16,0.26,0.28,0.08,0.82,0.31,0.34
com-,22222,4632,45,4677,4566.8,65.2,3.76,0.92,0.72,9.83,11.68,1.25,1.76,0.93,8.33,0.99,4.85
com-,26034,586,8,594,564.49,21.51,0.73,0.46,0.47,1.41,0.55,0.91,1.24,0.51,0.53,0.49,0.7
com-,14383,2581,46,2627,2535.51,45.49,3.01,1.44,0.94,6.67,7.09,3.52,2.93,1.78,8.49,2.43,7.7
com-,55253,667,29,696,651.63,15.37,1.45,1.1,0.95,12.47,2.31,1.22,1.35,0.31,3.21,2.22,2.4
com-,89108,340,8,348,325.98,14.02,1.33,0.23,0.25,0.7,0.57,0.41,1.23,0.53,1.41,0.53,0.8
com-,76472,710,2,712,693.79,16.21,0.16,0.06,0.05,0.14,0.1,0.32,0.26,0.12,0.47,0.09,0.24
com-,54113,1545,21,1566,1475.95,69.05,4.02,1.92,0.56,3.41,1.59,2.23,1.72,0.33,1.74,1.42,2.07
com-,31346,1100,32,1132,1047.27,52.73,4.88,1.6,3.05,4.17,2.61,3.63,3.32,0.96,3.48,0.61,3.71
com-,52173,75,0,75,73.4,1.6,0,0,0,0,0,0,0,0,0,0,0
com-,29038,964,30,994,953.03,10.97,2.79,0.65,0.76,7.7,6.25,0.71,0.79,0.58,4.1,0.85,4.83
com-,30276,3550,101,3651,3404.81,145.19,9.81,3.98,10.37,18.63,8.1,9.74,25.59,1.79,3.65,2.11,7.25
com-,43218,1247,3,1250,1223.47,23.53,0.5,0.14,0.08,0.35,0.41,0.11,0.43,0.06,0.36,0.2,0.36
com-,11322,987,34,1021,944.36,42.64,3.46,0.9,2.46,8.02,7.33,1.59,4.21,0.26,1.62,0.23,3.93
com-,54593,436,0,436,416.52,19.48,0,0,0,0,0,0,0,0,0,0,0
com-,60571,80,0,80,76.32,3.68,0,0,0,0,0,0,0,0,0,0,0
com-,31092,120,2,122,114.25,5.75,0.3,0.1,0.19,0.26,0.16,0.23,0.21,0.06,0.22,0.04,0.23
com-,16086,803,40,843,785.32,17.68,3.65,0.52,0.92,5.07,15.24,2.03,2.18,0.97,5.05,0.44,3.94
com-,67026,169,1,170,161.96,7.04,0.07,0.06,0.03,0.28,0.1,0.04,0.05,0.02,0.07,0.17,0.11
com-,11012,2056,72,2128,1967.18,88.82,7.32,1.9,5.2,16.99,15.52,3.36,8.91,0.54,3.42,0.5,8.33
com-,74065,504,37,541,475.06,28.94,4.34,3.25,1.66,3.83,12.88,1.64,1.49,1.14,2.19,2.05,2.53
com-,63396,1147,20,1167,1112.03,34.97,7.06,0.72,0.86,2.2,1.67,1.2,1.17,0.34,1.68,1.23,1.87
com-,86038,219,2,221,214.97,4.03,0.19,0.04,0.04,0.26,0.65,0.11,0.1,0.03,0.29,0.01,0.27
com-,54573,159,0,159,151.89,7.11,0,0,0,0,0,0,0,0,0,0,0
com-,62144,472,1,473,465.37,6.63,0.04,0.05,0.02,0.13,0.07,0.16,0.21,0.04,0.15,0.03,0.11
com-,67161,364,5,369,348.84,15.16,0.33,0.29,0.14,1.42,0.51,0.22,0.27,0.1,0.33,0.85,0.55
com-,6071,554,32,586,523.12,30.88,4.11,5.87,0.78,5.63,4.17,1.72,1.23,3.74,1.77,0.18,2.8
com-,71311,243,8,251,234.29,8.71,1.25,0.62,0.3,0.89,1.07,0.74,0.55,0.41,0.84,0.6,0.71
com-,2B311,746,52,798,722.69,23.31,10.75,3.9,0.86,8.18,1.92,2.24,19.23,1.77,1.3,0.02,1.82
com-,91507,306,6,312,278.88,27.12,1.16,0.17,0.11,0.42,0.25,0.57,0.37,0.34,1.73,0.26,0.63
com-,68154,13200,1915,15115,12546.34,653.66,164.37,238.22,65.85,469.93,365.08,123.23,88.7,25.04,68.87,179.49,126.21
com-,1113,805,10,815,762.86,42.14,1.32,1.06,0.55,1.19,2.19,0.44,0.8,0.22,0.65,0.73,0.86
com-,66098,210,6,216,199.13,10.87,0.81,0.15,1.68,1.32,0.7,0.4,0.31,0.04,0.15,0.03,0.41
com-,84005,178,8,186,169.31,8.69,0.4,0.46,1.14,1.14,0.43,0.43,2.74,0.31,0.25,0.23,0.47
com-,39471,746,5,751,722.88,23.12,0.93,0.22,0.15,0.36,0.85,0.38,0.52,0.09,0.44,0.72,0.34
com-,26118,1489,38,1527,1434.35,54.65,3.47,2.18,2.25,6.69,2.63,4.3,5.9,2.41,2.52,2.34,3.31
com-,37026,496,12,508,482.21,13.79,2.61,0.33,0.22,1.2,1.3,1.16,0.93,0.26,2.26,0.25,1.48
com-,76293,237,9,246,231.59,5.41,0.73,0.27,0.2,0.63,0.47,1.42,1.18,0.53,2.1,0.39,1.08
com-,85056,379,15,394,374.65,4.35,1.86,0.56,0.43,3.2,3.3,0.29,0.63,0.28,2.37,0.16,1.93
com-,38194,2040,98,2138,1931.69,108.31,15.61,10.19,3.79,9.08,6.62,15.29,5.61,5.42,9.44,8.63,8.32
com-,38235,444,6,450,420.43,23.57,0.96,0.62,0.23,0.56,0.41,0.94,0.34,0.33,0.58,0.53,0.51
com-,80440,151,1,152,149.23,1.77,0.16,0.02,0.04,0.18,0.08,0.07,0.08,0.05,0.15,0.05,0.11
com-,43080,1985,19,2004,1947.55,37.45,3.19,0.87,0.5,2.24,2.62,0.7,2.73,0.35,2.27,1.24,2.29
com-,67425,526,11,537,504.09,21.91,0.72,0.63,0.32,3.12,1.11,0.48,0.6,0.22,0.72,1.86,1.21
com-,69007,2717,43,2760,2561.14,155.86,5.53,3.15,1.46,3.13,3.05,8.25,2.4,3.76,5.28,2.58,4.4
com-,88205,249,7,256,242.96,6.04,0.95,0.36,0.15,0.96,1.04,0.45,0.51,0.19,0.71,0.86,0.8
com-,61351,124,9,133,121.52,2.48,0.53,0.17,0.15,1.05,1.64,0.49,0.73,0.34,1.31,1.29,1.32
com-,60234,2408,138,2546,2297.19,110.81,20.94,4.83,4.25,9.66,5.41,13.84,17.51,3.98,31.46,10,16.12
com-,21168,35,0,35,33.85,1.15,0,0,0,0,0,0,0,0,0,0,0
com-,17025,666,33,699,655.66,10.34,5.06,0.74,1.14,6.76,7.8,0.97,1.5,0.61,3.84,0.68,3.89
com-,54092,63,1,64,60.18,2.82,0.19,0.09,0.03,0.16,0.08,0.11,0.08,0.02,0.08,0.07,0.1
com-,80524,548,3,551,541.58,6.42,0.48,0.07,0.11,0.55,0.25,0.2,0.23,0.16,0.45,0.15,0.34
com-,38377,3350,176,3526,3172.15,177.85,28.03,18.3,6.81,16.3,11.88,27.46,10.08,9.73,16.95,15.5,14.95
com-,34211,902,42,944,863.51,38.49,3.45,2.31,4.89,8.42,4.56,2.75,9.01,0.57,2.08,0.66,3.29
com-,36145,215,10,225,210.09,4.91,0.81,0.34,0.22,1.47,1.82,0.69,1,0.18,1.72,0.19,1.55
com-,25024,941,14,955,901.34,39.66,1.74,1.24,0.52,0.82,2.57,1.83,1.63,0.23,0.87,1.67,0.9
com-,52347,210,1,211,205.51,4.49,0.09,0.04,0.03,0.12,0.1,0.16,0.08,0.03,0.16,0.05,0.14
com-,44038,3017,18,3035,2967.09,49.91,1.69,0.56,0.54,3.62,1.5,1.19,0.88,0.75,4.24,0.75,2.27
com-,62265,1144,2,1146,1127.92,16.08,0.07,0.09,0.04,0.26,0.14,0.32,0.43,0.08,0.29,0.07,0.21
com-,78296,616,26,642,564.28,51.72,4.36,0.74,0.76,2.04,1.23,2.45,3.47,1.08,6.09,0.74,3.03
com-,25005,87,1,88,83.33,3.67,0.12,0.09,0.04,0.06,0.18,0.13,0.12,0.02,0.06,0.12,0.06
com-,11205,122,2,124,116.73,5.27,0.2,0.05,0.14,0.47,0.43,0.09,0.25,0.02,0.1,0.01,0.23
com-,67027,168,6,174,161,7,0.39,0.34,0.17,1.7,0.61,0.26,0.33,0.12,0.39,1.02,0.66
com-,16030,1072,20,1092,1048.4,23.6,1.82,0.26,0.46,2.53,7.62,1.02,1.09,0.49,2.52,0.22,1.97
com-,62827,1347,6,1353,1328.07,18.93,0.21,0.27,0.12,0.79,0.43,0.95,1.28,0.23,0.88,0.2,0.63
com-,38458,599,14,613,567.2,31.8,2.23,1.46,0.54,1.3,0.95,2.18,0.8,0.77,1.35,1.23,1.19
com-,89061,248,7,255,237.77,10.23,1.16,0.2,0.22,0.61,0.5,0.36,1.08,0.47,1.24,0.46,0.7
com-,85084,6749,86,6835,6671.63,77.37,10.66,3.22,2.45,18.36,18.9,1.64,3.61,1.59,13.61,0.91,11.04
com-,4218,203,5,208,194.99,8.01,0.58,0.31,0.36,0.87,0.51,0.44,0.49,0.12,0.45,0.08,0.77
com-,69263,895,13,908,843.66,51.34,1.67,0.95,0.44,0.95,0.92,2.5,0.73,1.14,1.6,0.78,1.33
com-,71441,280,7,287,269.97,10.03,1.1,0.55,0.26,0.78,0.94,0.65,0.49,0.36,0.73,0.52,0.63
com-,64286,424,4,428,410.7,13.3,0.91,0.1,1.43,0.4,0.33,0.06,0.19,0.02,0.16,0.01,0.38
com-,18071,34,0,34,33.15,0.85,0,0,0,0,0,0,0,0,0,0,0
com-,21464,5112,151,5263,4943.81,168.19,22.49,8.21,7.3,14.38,18.3,11.71,20.42,2.6,20.79,6.64,18.17
com-,70541,203,1,204,197.88,5.12,0.12,0.04,0.02,0.12,0.14,0.07,0.15,0.01,0.1,0.11,0.12
com-,60579,335,6,341,319.58,15.42,0.91,0.21,0.18,0.42,0.24,0.6,0.76,0.17,1.37,0.43,0.7
com-,77216,1381,76,1457,1266.98,114.02,14.94,2.44,1.87,5.77,3.16,6.65,4.57,2.79,20.45,3.49,9.87
com-,88060,29,1,30,28.3,0.7,0.14,0.05,0.02,0.14,0.15,0.06,0.07,0.03,0.1,0.12,0.11
com-,70535,156,0,156,152.06,3.94,0,0,0,0,0,0,0,0,0,0,0
com-,85305,775,48,823,766.12,8.88,5.95,1.8,1.37,10.25,10.55,0.92,2.02,0.89,7.59,0.51,6.16
com-,60297,178,7,185,169.81,8.19,1.06,0.25,0.22,0.49,0.27,0.7,0.89,0.2,1.6,0.51,0.82
com-,76355,933,17,950,911.7,21.3,1.39,0.51,0.39,1.18,0.89,2.68,2.23,0.99,3.96,0.73,2.04
com-,49010,303,14,317,298.9,4.1,1.69,0.42,0.46,2.78,1.74,0.53,0.99,0.41,2.45,0.45,2.09
com-,56165,9699,322,10021,9585.88,113.12,16.95,8.85,6.31,66.3,90.87,7.01,7.63,5.66,55.41,18.71,38.31
com-,55149,119,7,126,116.26,2.74,0.35,0.26,0.23,3.01,0.56,0.3,0.33,0.08,0.77,0.54,0.58
com-,77467,200,1,201,183.49,16.51,0.2,0.03,0.02,0.08,0.04,0.09,0.06,0.04,0.27,0.05,0.13
com-,12201,1093,4,1097,1064.77,28.23,0.63,0.1,0.26,0.75,0.56,0.18,0.33,0.06,0.4,0.12,0.61
com-,65420,83,0,83,80.21,2.79,0,0,0,0,0,0,0,0,0,0,0
com-,8089,374,7,381,363.44,10.56,0.44,0.41,0.14,2.67,0.31,1.15,0.45,0.08,0.47,0.42,0.47
com-,55061,230,2,232,224.7,5.3,0.1,0.08,0.07,0.86,0.16,0.08,0.09,0.02,0.22,0.15,0.17
com-,70056,319,4,323,310.95,8.05,0.48,0.16,0.07,0.5,0.58,0.27,0.58,0.05,0.39,0.43,0.47
com-,22261,362,2,364,356.9,5.1,0.17,0.04,0.03,0.44,0.52,0.06,0.08,0.04,0.37,0.04,0.22
com-,41228,289,5,294,280.11,8.89,0.9,0.1,0.16,0.34,0.3,0.31,0.67,0.12,0.93,0.62,0.54
com-,8155,95,1,96,92.32,2.68,0.06,0.06,0.02,0.38,0.04,0.16,0.06,0.01,0.07,0.06,0.07
com-,2B037,7105,533,7638,6882.99,222.01,110.16,39.99,8.83,83.83,19.67,22.99,197.16,18.18,13.28,0.23,18.68
com-,2828,88,2,90,86.01,1.99,0.27,0.06,0.07,0.25,0.07,0.17,0.26,0.07,0.41,0.14,0.24
com-,62850,337,6,343,332.26,4.74,0.21,0.27,0.12,0.79,0.43,0.95,1.28,0.23,0.88,0.2,0.63
com-,80663,372,2,374,367.64,4.36,0.32,0.05,0.08,0.37,0.17,0.14,0.16,0.11,0.3,0.1,0.23
com-,41013,267,4,271,258.78,8.22,0.72,0.08,0.13,0.27,0.24,0.25,0.54,0.09,0.74,0.5,0.43
com-,33370,568,14,582,548.8,19.2,2.83,0.41,1.04,1.81,0.9,0.87,2.12,0.32,1.63,0.71,1.37
com-,65089,77,3,80,74.41,2.59,0.61,0.09,0.33,0.33,0.53,0.12,0.25,0.06,0.29,0.01,0.39
com-,70564,312,0,312,304.13,7.87,0,0,0,0,0,0,0,0,0,0,0
com-,17311,1481,22,1503,1458.02,22.98,3.38,0.49,0.76,4.51,5.2,0.65,1,0.41,2.56,0.45,2.6
com-,82099,499,46,545,480.27,18.73,7.2,1.39,4.74,10.35,6.99,1.35,8.06,0.59,2.13,0.3,2.88
com-,63248,855,10,865,828.93,26.07,3.53,0.36,0.43,1.1,0.83,0.6,0.58,0.17,0.84,0.62,0.94
com-,43205,4159,61,4220,4080.53,78.47,10.24,2.78,1.59,7.19,8.42,2.26,8.76,1.12,7.3,3.99,7.34
com-,73206,677,23,700,652.49,24.51,4.16,3.2,0.61,3.08,3.1,1.86,1.31,0.55,1.39,1.84,1.9
com-,62253,76,0,76,74.93,1.07,0,0,0,0,0,0,0,0,0,0,0
com-,59309,3953,57,4010,3845.95,107.05,3.76,3.34,1.43,12.57,1.9,10.41,9.84,1.48,6.18,0.9,5.19
com-,21533,83,2,85,80.27,2.73,0.3,0.11,0.1,0.19,0.24,0.16,0.27,0.03,0.28,0.09,0.24
com-,61314,666,7,673,652.68,13.32,0.41,0.13,0.11,0.82,1.27,0.38,0.57,0.27,1.02,1,1.02
com-,67325,1292,90,1382,1238.19,53.81,5.88,5.14,2.6,25.52,9.12,3.93,4.9,1.84,5.92,15.25,9.9
com-,31423,329,4,333,313.23,15.77,0.61,0.2,0.38,0.52,0.33,0.45,0.41,0.12,0.44,0.08,0.46
com-,23004,541,8,549,531.58,9.42,0.46,0.12,0.11,1.62,3.36,0.13,0.17,0.03,0.88,0.45,0.68
com-,12231,642,23,665,625.42,16.58,3.62,0.57,1.47,4.33,3.23,1.05,1.9,0.37,2.28,0.66,3.51
com-,65182,125,1,126,120.79,4.21,0.2,0.03,0.11,0.11,0.18,0.04,0.08,0.02,0.1,0,0.13
com-,55325,43,6,49,42.01,0.99,0.3,0.23,0.2,2.58,0.48,0.25,0.28,0.07,0.66,0.46,0.5
com-,86284,712,9,721,698.91,13.09,0.84,0.18,0.2,1.17,2.95,0.48,0.45,0.14,1.32,0.06,1.23
com-,63456,330,3,333,319.94,10.06,1.06,0.11,0.13,0.33,0.25,0.18,0.18,0.05,0.25,0.19,0.28
com-,53258,882,19,901,869.16,12.84,0.91,0.36,0.38,2.2,4.95,0.99,1.29,0.57,5.11,0.23,2
com-,1150,211,4,215,199.96,11.04,0.53,0.42,0.22,0.48,0.88,0.18,0.32,0.09,0.26,0.29,0.34
com-,73269,744,6,750,717.07,26.93,1.08,0.83,0.16,0.8,0.81,0.49,0.34,0.14,0.36,0.48,0.49
com-,35044,407,4,411,400.37,6.63,0.35,0.11,0.16,0.66,0.47,0.17,0.28,0.12,0.82,0.12,0.74
com-,39510,793,15,808,768.42,24.58,2.79,0.67,0.44,1.07,2.55,1.15,1.55,0.27,1.32,2.16,1.03
com-,15167,105,5,110,103.88,1.12,0.51,0.07,0.12,0.88,0.69,0.22,0.25,0.12,0.73,0.04,1.36
com-,82013,3578,176,3754,3443.69,134.31,27.57,5.31,18.15,39.62,26.75,5.17,30.83,2.26,8.16,1.16,11.02
com-,18213,4702,150,4852,4584.46,117.54,35.53,5.24,6.22,19.82,12.38,10.35,10.77,6.32,16.87,9.27,17.23
com-,7288,1312,25,1337,1277.21,34.79,3.29,1.08,1.4,5.39,2.33,2.21,3.22,0.81,1.51,1.18,2.59
com-,67115,2257,38,2295,2163,94,2.48,2.17,1.1,10.78,3.85,1.66,2.07,0.78,2.5,6.44,4.18
com-,79258,420,3,423,413.84,6.16,0.43,0.04,0.21,0.45,0.89,0.05,0.13,0.03,0.46,0.02,0.28
com-,89027,195,6,201,186.96,8.04,1,0.17,0.19,0.53,0.43,0.3,0.92,0.4,1.06,0.4,0.6
com-,24365,233,12,245,227.31,5.69,1.56,0.22,0.33,2.56,4.16,0.26,0.82,0.08,0.8,0.14,1.07
com-,71486,8292,216,8508,7994.89,297.11,33.87,16.87,8.11,24.08,28.92,19.99,14.97,11.06,22.62,16.2,19.3
com-,2509,154,1,155,150.53,3.47,0.13,0.03,0.04,0.12,0.04,0.08,0.13,0.03,0.2,0.07,0.12
com-,71325,1161,25,1186,1119.4,41.6,3.92,1.95,0.94,2.79,3.35,2.31,1.73,1.28,2.62,1.87,2.23
com-,21404,388,5,393,375.23,12.77,0.74,0.27,0.24,0.48,0.61,0.39,0.68,0.09,0.69,0.22,0.6
com-,38456,481,10,491,455.46,25.54,1.59,1.04,0.39,0.93,0.68,1.56,0.57,0.55,0.96,0.88,0.85
com-,10406,1852,36,1888,1782.62,69.38,5.33,1.04,1.24,2.61,3.49,2.34,4.31,1.03,6.67,1.95,6
com-,64222,72,2,74,69.74,2.26,0.46,0.05,0.71,0.2,0.16,0.03,0.1,0.01,0.08,0,0.19
com-,69175,1945,25,1970,1833.42,111.58,3.21,1.83,0.85,1.82,1.77,4.8,1.4,2.19,3.07,1.5,2.56
com-,31104,640,10,650,609.32,30.68,1.52,0.5,0.95,1.3,0.82,1.13,1.04,0.3,1.09,0.19,1.16
com-,12133,5990,64,6054,5835.31,154.69,10.08,1.59,4.09,12.04,8.99,2.93,5.3,1.03,6.36,1.84,9.77
com-,25129,118,11,129,113.03,4.97,1.36,0.97,0.41,0.65,2.02,1.44,1.28,0.18,0.68,1.31,0.7
com-,67282,4092,108,4200,3921.57,170.43,7.06,6.16,3.12,30.63,10.94,4.72,5.88,2.21,7.11,18.3,11.88
com-,47198,301,13,314,287.22,13.78,3.16,0.44,0.97,1.55,2.07,0.39,2.88,0.11,0.76,0.01,0.66
com-,62539,257,0,257,253.39,3.61,0,0,0,0,0,0,0,0,0,0,0
com-,40111,702,6,708,683.34,18.66,2.13,0.16,0.72,0.91,0.54,0.11,0.39,0.06,0.44,0.02,0.53
com-,11130,224,9,233,214.32,9.68,0.92,0.24,0.65,2.12,1.94,0.42,1.11,0.07,0.43,0.06,1.04
com-,47258,292,13,305,278.63,13.37,3.16,0.44,0.97,1.55,2.07,0.39,2.88,0.11,0.76,0.01,0.66
com-,26135,116,7,123,111.74,4.26,0.64,0.4,0.41,1.23,0.48,0.79,1.09,0.44,0.46,0.43,0.61
com-,77289,333,13,346,305.51,27.49,2.56,0.42,0.32,0.99,0.54,1.14,0.78,0.48,3.5,0.6,1.69
com-,38395,2376,56,2432,2249.86,126.14,8.92,5.82,2.17,5.19,3.78,8.74,3.21,3.09,5.39,4.93,4.76
com-,62611,483,1,484,476.21,6.79,0.04,0.05,0.02,0.13,0.07,0.16,0.21,0.04,0.15,0.03,0.11
com-,45268,585,17,602,555.81,29.19,3.85,0.52,0.64,0.94,0.63,0.98,2.05,0.41,3.88,1.58,1.51
com-,47193,182,15,197,173.67,8.33,3.65,0.51,1.12,1.79,2.38,0.45,3.32,0.13,0.87,0.01,0.77
com-,11374,23,5,28,22.01,0.99,0.51,0.13,0.36,1.18,1.08,0.23,0.62,0.04,0.24,0.03,0.58
com-,42312,627,3,630,606.06,20.94,0.41,0.23,0.08,0.18,0.29,0.58,0.19,0.17,0.25,0.39,0.22
com-,48048,62,2,64,60.66,1.34,0.76,0.04,0.06,0.25,0.2,0.05,0.15,0.02,0.2,0.03,0.24
