Type,Code,Français,Etrangers,Ensemble,Français de naissance,Français par acquisition,Portugais,Italiens,Espagnols,Autres nationalités de l'UE,Autres nationalités d'Europe,Algériens,Marocains,Tunisiens,Autres nationalités d'Afrique,Turcs,Autres nationalités
com,75118,153652,32172,185825,135800,17852,1305,1763,734,2739,1719,3763,2367,1477,8434,310,7561
com,75117,139507,21698,161206,125952,13555,2136,1070,819,2419,1357,1899,1561,763,4087,139,5448
com,75116,133443,26290,159733,119025,14418,3236,1292,1320,3189,2035,957,1521,663,1997,203,9877
com,75115,195662,33092,228754,175685,19977,2283,1932,1197,3137,1805,2497,2309,1601,5073,265,10993
com,75114,115834,21748,137581,104014,11820,1035,1357,784,2626,1472,1527,1231,1268,3922,160,6366
com,75113,151724,26011,177735,130392,21332,1257,1380,794,1819,1018,2504,1619,1123,6004,154,8339
com,75112,123362,16427,139788,111584,11778,858,1116,533,1748,830,1686,917,769,4230,96,3644
com,75111,121470,18512,139983,110549,10921,1080,1635,795,2121,1308,1533,919,1037,3303,175,4606
com,75110,69398,12527,81926,62771,6627,574,872,426,1422,1015,1031,713,548,2219,203,3504
com,75109,51840,6580,58419,48105,3735,645,592,432,883,547,387,288,271,747,73,1715
com,75105,48859,7066,55925,45276,3583,627,651,242,1081,613,256,237,161,498,95,2605
com,74010,117854,13419,131272,110959,6895,1603,1179,586,1068,2646,1095,848,385,1560,1138,1311
com,73065,52181,8068,60251,48724,3457,802,748,171,613,519,1608,781,447,1238,458,683
com,72181,132023,13159,145182,125925,6098,381,395,125,521,1520,941,1331,796,5122,381,1646
com,69266,138632,23576,162207,125658,12974,1167,1330,692,1455,1650,4507,1748,1884,4918,549,3676
com,69259,52225,14475,66701,44263,7962,794,850,290,405,555,4454,806,2151,2435,812,923
com,69256,40163,12285,52448,33888,6275,1029,508,295,411,641,3366,951,1103,1920,590,1471
com,69123,465417,55357,520774,433547,31870,3034,3546,1811,3964,3954,9747,3247,3999,11397,707,9951
com,68224,81700,23225,104924,71443,10257,430,1797,455,1315,3935,4277,1849,494,2791,3446,2436
com,68066,59591,7769,67360,55108,4483,827,659,242,607,1244,713,652,223,699,1141,762
com,67482,238864,52844,291709,212364,26500,1099,3169,2083,7167,6704,3788,5144,933,7584,4929,10244
com,66136,104283,16713,120996,95999,8284,989,516,3274,919,1183,2802,3367,182,1245,484,1752
com,64445,69027,9591,78620,65091,3936,1151,227,939,557,838,537,1414,115,1665,127,2021
com,64102,49282,4029,53312,47602,1680,1070,96,597,349,273,157,361,50,406,111,559
com,63113,127014,20736,147751,118463,8551,2434,1341,753,721,2233,2083,2261,794,4133,1164,2819
com,62193,65314,2271,67585,64463,851,28,43,19,186,153,211,230,107,382,184,728
com,60057,49042,6862,55906,45858,3184,567,421,117,229,177,752,673,224,2403,564,735
com,59599,88679,10480,99160,83133,5546,1208,377,217,1095,258,3208,1275,606,1308,312,616
com,59512,79794,19712,99507,72306,7488,1155,578,295,1555,413,7470,2248,557,2678,789,1974
com,59350,209781,28911,238695,198023,11758,401,837,918,2260,873,5948,6072,1161,6347,268,3826
com,59183,82314,4699,87013,79875,2439,110,164,85,585,174,734,856,207,1152,68,564
com,59009,55310,7031,62342,51376,3934,124,194,155,388,169,1402,1456,239,1838,31,1035
com,57463,104041,17655,121695,95238,8803,657,935,466,1216,2976,1882,1401,363,3476,1365,2918
com,56260,51497,3459,54955,50123,1374,75,84,45,255,435,141,176,131,884,530,703
com,56121,53181,5022,58202,51649,1532,110,140,117,388,406,198,226,153,1450,967,867
com,54395,93852,10535,104387,88642,5210,434,465,217,854,1136,1483,1489,209,2182,109,1957
com,51454,160258,18222,178478,150806,9452,1313,434,429,921,1348,2376,2069,509,5027,975,2821
com,50129,75177,2851,78028,73853,1324,58,17,73,203,203,221,257,92,800,83,844
com,49099,49872,4203,54074,47700,2172,447,238,130,187,106,113,760,135,1233,496,358
com,49007,142995,14560,157555,136584,6411,212,340,411,693,958,735,1518,886,6131,407,2269
com,45234,97793,18552,116344,88683,9110,1963,697,1050,757,956,1233,2862,427,5990,489,2128
com,44184,67347,5763,73111,65519,1828,478,290,148,744,270,701,307,282,1537,259,747
com,44162,45428,5133,50561,43057,2371,290,109,50,962,233,619,421,283,1380,263,523
com,44109,291780,33290,325070,278567,13213,822,1055,915,2116,1952,3546,2632,1849,12056,1244,5103
com,42218,144916,27651,172569,132671,12245,1294,1800,447,2100,2143,6795,3738,1474,4368,901,2591
com,38185,132761,23627,156389,121435,11326,908,1891,729,1698,1956,4148,1493,1439,4663,489,4213
com,37261,124636,14032,138668,118226,6410,957,398,244,588,888,1856,1079,434,5037,123,2428
com,35238,203642,24187,227830,194075,9567,611,754,908,1258,1340,1037,2738,571,7912,1847,5211
com,34172,260855,46246,307101,240002,20853,795,2149,3548,3147,2066,5381,15904,1084,5305,846,6021
com,34032,69439,11375,80815,64958,4481,220,400,1417,956,787,1405,3536,204,503,1193,754
com,33318,61283,5590,66874,58221,3062,377,199,445,488,222,438,650,100,1650,156,865
com,33281,70726,6411,77136,67510,3216,827,176,399,584,447,493,708,138,1420,298,921
com,33063,238995,26333,265328,228706,10289,1690,1010,1728,4144,1472,2552,2617,891,5224,712,4293
com,31555,445240,66444,511684,413947,31293,2914,3058,5088,5492,3197,10688,8059,3468,12003,1054,11423
com,30189,133743,16701,150444,123245,10498,783,462,1709,913,806,2070,6050,411,1546,138,1813
com,29232,61567,2963,64530,59997,1570,155,51,164,285,286,110,239,125,765,311,472
com,29019,131231,9764,140993,127684,3547,895,95,229,643,701,792,1127,534,2769,90,1889
