departement,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
3,334715,4.0,6,11.68,56.7,2.37,793,13,3.88,72,69,60,76,87
30,764010,10.32,17,12.01,54.8,1.35,1031,35,4.58,97,99,118,109,93
31,1456261,5.99,19,14.05,42.1,1.44,2097,27,1.85,98,93,82,96,80
32,192649,1.44,1,6.33,54.0,1.87,360,9,4.67,58,44,47,40,63
33,1674980,4.65,25,14.4,60.0,1.44,2412,32,1.91,94,75,62,84,84
34,1217331,9.25,21,12.2,40.3,1.46,1777,44,3.61,117,100,108,107,86
35,1109232,3.44,6,14.53,37.5,1.54,1708,12,1.08,71,64,43,73,72
36,216809,5.34,4,15.9,56.0,2.18,473,3,1.38,75,71,45,88,95
37,616326,6.85,15,17.33,57.5,1.25,770,9,1.46,79,74,61,81,87
38,1291380,5.6,24,16.43,43.5,1.8,2324,56,4.34,106,95,101,100,88
39,258405,3.8,4,11.03,61.7,2.23,576,16,6.19,60,63,78,71,86
4,167179,4.46,3,9.35,71.2,2.53,423,7,4.19,79,81,73,81,91
40,428427,1.98,5,7.24,84.8,1.47,630,3,0.7,68,55,23,74,76
41,328953,5.48,4,13.68,70.1,2.24,737,8,2.43,74,85,70,84,94
42,772041,8.4,24,17.11,54.1,2.05,1583,44,5.7,95,100,122,100,101
43,228161,1.15,2,7.68,43.9,1.54,351,3,1.32,51,48,29,64,58
44,1473156,4.44,19,13.69,41.5,1.9,2799,20,1.36,83,75,55,79,78
45,687063,7.44,19,16.52,56.8,1.88,1292,34,4.95,81,107,118,103,98
46,175620,0.86,1,5.86,65.8,1.77,311,5,2.85,54,64,45,77,63
47,332226,4.11,7,6.93,62.9,1.72,571,19,5.72,77,81,94,84,76
48,76503,1.46,1,8.1,101.3,2.13,163,2,2.61,60,62,50,86,96
49,828151,5.58,15,17.39,26.1,1.69,1400,11,1.33,65,65,50,75,77
5,141677,1.01,1,11.61,76.3,1.98,281,2,1.41,77,70,34,75,86
50,496815,3.09,7,15.56,62.1,1.56,775,3,0.6,55,46,22,60,81
51,564107,10.67,13,26.3,51.8,2.2,1241,23,4.08,98,83,87,82,118
52,169865,6.29,4,18.51,50.6,3.61,613,12,7.06,74,81,92,82,114
53,305437,2.28,3,10.89,44.5,2.04,623,4,1.31,57,65,40,69,69
54,732898,7.03,18,15.34,45.5,2.43,1781,37,5.05,76,89,96,87,97
55,180745,3.68,3,11.0,81.4,2.35,425,10,5.53,81,65,68,84,97
56,776103,2.68,9,10.16,46.7,1.58,1226,13,1.68,62,53,39,67,68
57,1050721,6.56,26,16.51,46.4,2.85,2995,53,5.04,69,104,107,101,105
58,202299,3.5,4,12.65,54.9,2.44,494,4,1.98,68,63,40,63,84
59,2616909,16.68,94,24.54,58.8,0.74,1937,108,4.13,112,90,116,104,117
6,1114579,6.35,14,11.51,62.7,1.61,1794,46,4.13,106,107,105,105,89
60,830725,8.95,19,19.69,44.3,1.92,1595,35,4.21,91,104,111,105,103
61,276144,6.08,7,15.54,51.8,2.0,552,10,3.62,67,64,65,76,91
62,1460184,11.91,64,25.48,40.8,0.8,1168,38,2.6,93,58,64,87,101
63,664385,4.28,7,13.56,56.3,2.0,1329,26,3.91,76,78,76,82,86
64,699473,2.13,4,10.91,75.0,1.75,1224,7,1.0,61,61,30,77,82
65,231453,3.96,4,10.48,65.6,2.31,535,3,1.3,66,67,36,78,89
66,492964,6.43,10,11.16,52.8,1.51,744,23,4.67,96,86,92,102,84
67,1156963,8.25,24,13.41,58.9,2.94,3401,44,3.8,69,105,99,91,108
68,767800,8.76,11,14.48,59.0,2.23,1712,35,4.56,77,104,110,102,103
69,1907982,10.23,48,21.45,24.2,1.19,2270,89,4.66,124,109,129,106,91
7,333229,2.67,5,8.99,57.8,1.04,347,15,4.5,66,61,70,83,66
70,233920,3.64,5,10.04,41.0,1.97,461,12,5.13,65,65,73,77,71
71,549136,4.91,12,15.66,44.2,2.06,1131,22,4.01,64,76,78,79,85
72,566129,5.61,7,14.64,33.9,2.18,1234,10,1.77,77,73,56,78,83
73,445288,2.94,3,16.96,73.5,1.84,819,22,4.94,76,74,79,81,91
74,849583,2.0,6,13.6,51.8,1.35,1147,38,4.47,87,85,88,88,72
75,2113705,5.82,21,24.4,172.0,1.51,3192,56,2.65,324,196,134,143,196
76,1260205,9.82,29,24.83,39.2,1.57,1979,36,2.86,92,86,89,95,102
77,1452399,6.31,25,19.25,44.9,1.76,2556,68,4.68,93,121,121,117,98
78,1470778,7.29,22,22.52,31.9,1.97,2897,75,5.1,94,130,138,111,100
79,375415,2.38,5,8.79,56.2,1.8,676,6,1.6,58,57,35,73,72
8,267204,7.63,8,18.91,45.0,2.11,564,11,4.12,76,71,71,81,99
80,565540,6.87,10,15.54,78.2,2.24,1267,14,2.48,84,68,58,77,105
81,396168,5.24,11,8.2,55.8,1.3,515,14,3.53,66,63,65,82,73
82,264924,4.27,5,8.0,56.6,1.26,334,10,3.78,68,77,79,91,71
83,1108364,5.92,23,10.68,66.0,0.99,1097,33,2.98,100,79,82,97,78
84,568702,12.37,23,14.15,64.8,1.13,643,33,5.8,119,107,140,112,101
85,706343,1.1,4,7.68,44.1,1.51,1067,3,0.42,59,47,20,69,59
86,438688,6.06,6,11.59,64.5,2.04,895,4,0.91,73,76,48,82,89
87,372438,6.75,9,13.35,51.9,1.71,637,9,2.42,69,82,73,84,85
88,358700,4.5,6,13.77,60.0,3.09,1108,18,5.02,70,69,66,70,101
89,333896,5.33,7,13.16,48.2,2.32,775,16,4.79,74,85,88,87,90
9,155339,4.51,3,4.97,70.3,1.89,294,10,6.44,88,74,82,80,79
90,140082,11.43,7,20.45,55.3,2.88,403,8,5.71,79,119,135,109,122
91,1324546,13.75,47,24.65,52.5,2.07,2742,50,3.78,117,159,154,137,130
92,1647435,6.07,19,28.92,48.0,1.11,1829,49,2.97,95,121,117,103,102
93,1681725,41.36,75,36.88,70.4,1.03,1732,152,9.04,213,258,312,209,218
94,1419531,12.63,47,30.32,48.4,1.61,2285,74,5.21,116,164,171,137,130
95,1270845,18.3,42,27.17,39.2,1.44,1830,88,6.92,127,168,202,147,134
971,383569,15.14,19,0.0,86.9,0.05,19,2,0.52,203,73,75,146,97
972,361019,14.79,9,0.0,60.4,0.08,29,2,0.55,195,65,64,132,85
973,288382,47.72,29,0.0,73.7,2.81,810,5,1.73,325,142,127,169,198
974,881348,20.97,57,0.0,146.8,0.11,97,56,6.35,99,79,133,135,127
976,256518,77.52,42,0.0,73.1,1.56,400,600,233.9,297,312,2147,295,254
