country,population,etat_central,autres_organismes_publics,total_subv_commune,total_subv_EPCI,total_subv_dept,total_subv_region,total_subventions,total_subventions_parHab
france entiere,68017091,11770081914,8000000000,2533606557,1576039532,2035037773,1923368686,19770081914,290.7
france metro,68017091,11770081914,8000000000,2533606557,1576039532,1905040337,1828845156,19770081914,290.7
